"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0040000010000000000000000000000000000000000000000000000004&c=4100000002000060000000000000g000200000000000000001&vs=INTL.44-1-AFRC-QBTU.A&vo=0&v=H&start=1980&end=2016&showdm=y"
"Tue Nov 12 2019 10:45:57 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Primary Energy","quad Btu"
"","Production",""
"","Production",""
"","Africa","quad Btu",17.390003622587,15.13666796923,15.577229821558,16.259107611008,17.715108965098,18.567935464119,18.617471976951,18.795294722725,19.888580878419,20.777314558705,21.822800621119,22.688860909952,22.888307410511,22.942619628978,23.068202198392,24.235060120258,24.839016286604,26.054595205864,26.286444161086,26.674441834677,27.695371625304,27.912240391506,28.08129560941,29.97181604453,31.963682366466,34.477399629821,35.410769629411,36.132326595565,36.850550430773,36.079755378128,37.119053716949,34.085295834247,36.258000814249,34.464653458347,33.852231573991,33.259572625134,32.261554467285
"","Asia & Oceania","quad Btu",36.956290638378,38.018162012493,39.186092861491,42.151798822772,46.098008274156,49.826811724649,52.020236569018,54.116722930375,56.07746757843,58.880642708983,61.163126028155,62.972922791786,64.302992796116,66.550035680506,69.81140467098,73.702135064235,77.078109297742,77.869167876328,78.587037727274,79.307398442077,82.984756707724,86.553141864292,89.853985333325,97.327051500454,106.95405965431,116.42475153201,124.36121761562,131.31927137537,137.01696330346,144.17592700769,157.72205243994,166.45351241742,173.59809972295,178.84518551254,183.52371294197,184.6251519701,180.04571719654
"","Central & South America","quad Btu",12.132109594437,12.33465588747,12.21439574307,12.491369581133,13.523923678381,13.853830894924,14.658596575071,14.577867732855,15.46360212094,16.073294231482,16.941010044524,17.846813993719,18.121849440657,19.035730447685,20.110488254833,21.456351899426,22.843647071499,24.3827099774,24.986276133818,24.6983372165,26.162338722989,26.104497989297,25.607228539984,25.90363279844,27.295390548722,28.325075607719,29.280191715555,29.399776006993,30.28467684819,30.441971089928,31.313932243551,32.68286614456,32.717493147026,32.952929404246,34.313352013498,34.576051762457,34.542325159735
"","Eurasia","quad Btu",61.601755168878,61.847970521534,63.821935443025,65.259866201873,68.348303398728,70.406892343011,73.080716481987,75.121051125888,77.802296214669,77.191002161378,77.695128626669,71.111257573201,65.416542938811,61.075076780513,56.559752632439,54.699367154208,52.828101102211,51.431189150736,51.58663511272,53.055024419365,55.762116488274,57.632516858042,59.181000297365,62.93370754747,66.136820527126,68.080637660983,70.081335554224,71.670213304535,72.253082796646,68.634164361836,72.599773443799,74.674167908102,75.67527814264,77.08650926849,74.049951999655,74.639492891316,75.189665521989
"","Europe","quad Btu",41.548276770486,42.502839145984,43.899988827886,45.965981177532,46.636353884097,49.613695221311,50.602857705239,51.242542752965,51.450832673708,50.561700227646,48.74722751557,46.746279548038,46.038359620081,46.663002870486,47.812254176408,49.197094625925,51.604545273486,51.19941549417,50.372684656998,50.280736564021,50.57119122099,51.308132272629,51.027414301157,50.305231103214,50.453644048551,48.875119937486,47.490551664565,46.40133886493,46.789642062528,45.173741329465,46.040010475784,44.349922604229,44.56012587105,44.231225801494,43.239911341748,43.187386825056,42.88542255938
"","Middle East","quad Btu",42.26552884598,36.486264751936,29.69604994777,27.564294864467,27.676402162669,25.772981013217,30.766833484758,32.211778357331,36.09773666094,39.702609060431,40.882324646368,40.188083227512,43.568096518287,45.727127009051,47.281080193407,48.336018992051,49.310855782907,51.725653677303,54.885698274726,53.799305050239,57.487566063814,56.182148290147,54.316299084562,57.792456801836,62.886832513933,66.275331485872,66.292255649513,65.961419730322,70.004880584599,68.101021809597,72.201953385744,76.881096889325,78.317319266639,77.96446052443,79.434943068329,83.001222405443,87.838874880632
"","North America","quad Btu",84.373295367929,84.848097629091,85.543730384851,83.110082707561,89.187003554647,88.412343996386,86.92047923241,88.24659527603,90.343994266067,90.747876069779,92.440364749824,92.795054754195,92.896077572933,91.898414310047,95.536882014013,96.146085786694,98.540099074212,99.106249432638,99.226376351884,98.081509208603,98.264584427506,99.341108689182,98.569122112102,98.139856349722,99.053864930998,98.521269963457,99.949470997406,100.39357936154,101.32724421547,100.11258624325,101.57416172508,105.68536624581,107.02104590129,110.38975672282,117.3672537747,117.50965582324,113.38954751556
"","World","quad Btu",296.26726000868,291.17465791774,289.93942302965,292.80250096635,309.18510391778,316.45449065762,326.66719202543,334.31185289817,347.12451039317,353.9344390184,359.69198223223,354.3492727984,353.2322262974,353.89200672727,360.18006414047,367.7721136428,377.04437388866,381.76898081444,385.93115241851,385.89675273548,398.9279252566,405.03378635509,406.63634527791,422.37375214567,444.7442945901,460.97958581735,472.8657928263,481.27792523925,494.52704024166,492.71916721989,518.57093743085,534.8122280437,548.14736286585,555.93472069237,565.7813567139,570.79853430274,566.15310730112
"","Natural Gas",""
"","Africa","quad Btu",0.7760949,1.1907469,1.4265492,1.9421904,2.071354,2.127805,2.1453628,2.4083794,2.5666782,2.7355391,2.8144993935955,3.071297628,3.21207890318,3.19162871785,3.092025399,3.4213956908,3.54867850235,3.88421315345,4.08978176845,4.44277355725,4.891812611,5.0783429095,5.1335911081,5.58238295685,5.8039361765,6.768453989825,7.493964474525,7.45689005866,7.848693582525,7.564999453675,7.781621085665,7.86923205621,8.234400916105,7.75508027399,7.77002763026,7.6721302542339,7.8446361570529
