Entity,Code,Year,Oil Production - Tonnes (terawatt-hours)
Africa,,1965,1238.960147
Africa,,1966,1574.725428
Africa,,1967,1734.08947
Africa,,1968,2221.538947
Africa,,1969,2822.172176
Africa,,1970,3398.917898
Africa,,1971,3184.419778
Africa,,1972,3199.815431
Africa,,1973,3338.46775
Africa,,1974,3080.568044
Africa,,1975,2819.913448
Africa,,1976,3360.607208
Africa,,1977,3528.629112
Africa,,1978,3465.872926
Africa,,1979,3796.279452
Africa,,1980,3495.475302
Africa,,1981,2783.874761
Africa,,1982,2681.227871
Africa,,1983,2713.251117
Africa,,1984,2893.757967
Africa,,1985,3034.533682
Africa,,1986,3030.514475
Africa,,1987,3026.029055
Africa,,1988,3196.636197
Africa,,1989,3450.277961
Africa,,1990,3733.688214
Africa,,1991,3821.031609
Africa,,1992,3901.899761
Africa,,1993,3864.634077
Africa,,1994,3885.744391
Africa,,1995,3949.220004
Africa,,1996,4142.159483
Africa,,1997,4311.554302
Africa,,1998,4233.153397
Africa,,1999,4189.960076
Africa,,2000,4311.393137
Africa,,2001,4345.932913
Africa,,2002,4394.929746
Africa,,2003,4664.65216
Africa,,2004,5203.38711
Africa,,2005,5423.653866
Africa,,2006,5525.603239
Africa,,2007,5653.72031
Africa,,2008,5644.011705
Africa,,2009,5421.317991
Africa,,2010,5561.131524
Africa,,2011,4678.409834
Africa,,2012,5118.923201
Africa,,2013,4755.629088
Africa,,2014,4584.181146
Africa,,2015,4578.986646
Africa,,2016,4358.693198
Algeria,DZA,1965,307.97403
Algeria,DZA,1966,393.93136
Algeria,DZA,1967,454.45388
Algeria,DZA,1968,498.97352
Algeria,DZA,1969,520.83792
Algeria,DZA,1970,560.65904
Algeria,DZA,1971,431.46137
Algeria,DZA,1972,582.63974
Algeria,DZA,1973,591.82744
Algeria,DZA,1974,550.73865
Algeria,DZA,1975,532.11902
Algeria,DZA,1976,588.50126
Algeria,DZA,1977,628.64802
Algeria,DZA,1978,671.48131
Algeria,DZA,1979,669.3065
Algeria,DZA,1980,601.8525
Algeria,DZA,1981,544.6329
Algeria,DZA,1982,544.83061
Algeria,DZA,1983,533.42158
Algeria,DZA,1984,575.35936
Algeria,DZA,1985,581.46511
Algeria,DZA,1986,602.38748
Algeria,DZA,1987,612.19157
Algeria,DZA,1988,623.00747
Algeria,DZA,1989,635.64928
Algeria,DZA,1990,668.45751
Algeria,DZA,1991,670.8184
Algeria,DZA,1992,658.6069
Algeria,DZA,1993,659.0721
Algeria,DZA,1994,655.67614
Algeria,DZA,1995,658.21148
Algeria,DZA,1996,690.14746
Algeria,DZA,1997,701.59138
Algeria,DZA,1998,718.48977
Algeria,DZA,1999,743.5059
Algeria,DZA,2000,776.73281
Algeria,DZA,2001,764.68413
Algeria,DZA,2002,824.49722
Algeria,DZA,2003,918.82815
Algeria,DZA,2004,971.69813
Algeria,DZA,2005,1005.270102
Algeria,DZA,2006,1002.52926
Algeria,DZA,2007,1005.78566
Algeria,DZA,2008,995.7626507
Algeria,DZA,2009,898.23142
Algeria,DZA,2010,858.00325
Algeria,DZA,2011,833.58025
Algeria,DZA,2012,781.67556
Algeria,DZA,2013,753.43792
Algeria,DZA,2014,799.80673
Algeria,DZA,2015,781.82675
Algeria,DZA,2016,796.5092524
Angola,AGO,1965,7.61765
Angola,AGO,1966,7.33853
Angola,AGO,1967,6.24531
Angola,AGO,1968,8.7225
Angola,AGO,1969,28.58654
Angola,AGO,1970,58.90595
Angola,AGO,1971,66.53523
Angola,AGO,1972,82.07291
Angola,AGO,1973,95.07525
Angola,AGO,1974,99.33183
Angola,AGO,1975,90.60933
Angola,AGO,1976,87.96932
Angola,AGO,1977,82.13106
Angola,AGO,1978,75.23447
Angola,AGO,1979,83.736
Angola,AGO,1980,86.38764
Angola,AGO,1981,83.24754
Angola,AGO,1982,74.5483
Angola,AGO,1983,102.2277
Angola,AGO,1984,117.16062
Angola,AGO,1985,133.18676
Angola,AGO,1986,161.95938
Angola,AGO,1987,203.59478
Angola,AGO,1988,259.5816
Angola,AGO,1989,263.32646
Angola,AGO,1990,271.9094
Angola,AGO,1991,285.09782
Angola,AGO,1992,315.78939
Angola,AGO,1993,288.5403
Angola,AGO,1994,318.94112
Angola,AGO,1995,362.54199
Angola,AGO,1996,411.28332
Angola,AGO,1997,424.495
Angola,AGO,1998,418.68
Angola,AGO,1999,426.821
Angola,AGO,2000,428.5655
Angola,AGO,2001,425.0765
Angola,AGO,2002,518.698
Angola,AGO,2003,498.1446353
Angola,AGO,2004,633.4187402
Angola,AGO,2005,730.9938081
Angola,AGO,2006,809.7731191
Angola,AGO,2007,960.0451188
Angola,AGO,2008,1087.857243
Angola,AGO,2009,1018.962472
Angola,AGO,2010,1052.815032
Angola,AGO,2011,974.5361855
Angola,AGO,2012,1010.390982
Angola,AGO,2013,1015.392688
Angola,AGO,2014,965.554504
Angola,AGO,2015,1031.595383
