International_data,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000vg&f=M&c=4100000002000060000000000000g000200000000000000001&tl_id=5-M&vs=INTL.53-1-AFRC-TBPD.M&cy=201806&vo=0&v=H&start=201712&end=201812,,,,,,,,,,,,,,,
Fri Nov 22 2019 16:29:45 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,
,,,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
,Petroleum and Other Liquids (monthly),Mb/d,,,,,,,,,,,,,
,Production,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,,,,,,,,,,,,,,
,Africa,Mb/d,8805.506,8821.506,8770.506,8705.506,8690.506,8539.506,8147.506,8154.506,8602.506,8774.506,8695.506,8715.506,8503.506
,Asia & Oceania,Mb/d,9217.786,9361.786,9369.786,9342.786,9253.786,9242.786,9405.786,9242.786,9252.786,9213.786,9330.786,9358.786,9429.786
,Central & South America,Mb/d,7380.581,7190.647,7063.234,7102.502,7608.37,7784.641,7905.665,7911.933,7665.556,7583.894,7467.711,7245.484,7076.166
,Eurasia,Mb/d,14428.742,14427.742,14482.742,14469.742,14356.742,14419.742,14608.742,14692.742,14478.742,14793.742,14844.742,14893.742,14988.742
,Europe,Mb/d,4043.94,4455.94,4352.94,4241.94,4349.94,4043.94,4167.94,4310.94,4112.94,3879.94,4282.94,4313.94,4315.94
,Middle East,Mb/d,30903.109,31119.109,31062.109,30936.109,30869.109,30931.109,31437.109,31561.109,31455.109,31521.109,31774.109,31549.109,30988.109
,North America,Mb/d,24000.289,23805.449,24359.643,24774.965,24510.577,24674.836,24801.71,25388.158,26167.675,26001.277,26216.224,26639.243,26772.03
,World,Mb/d,98779.953,99182.179,99460.96,99573.55,99639.03,99636.56,100474.458,101262.174,101735.314,101768.254,102612.018,102715.81,102074.279
,"Crude Oil, NGPL, and Other Liquids",,,,,,,,,,,,,,
,"Crude Oil, NGPL, and Other Liquids",,,,,,,,,,,,,,
,Africa,Mb/d,8782.588,8798.588,8747.588,8682.588,8667.588,8516.588,8124.588,8131.588,8579.588,8751.588,8672.588,8692.588,8480.588
,Asia & Oceania,Mb/d,8371.311,8515.311,8523.311,8496.311,8407.311,8396.311,8559.311,8396.311,8406.311,8367.311,8484.311,8512.311,8583.311
,Central & South America,Mb/d,7267.662,7077.728,6950.315,6989.583,7495.451,7671.722,7792.746,7799.014,7552.637,7470.975,7354.792,7132.565,6963.247
,Eurasia,Mb/d,14371.965,14370.965,14425.965,14412.965,14299.965,14362.965,14551.965,14635.965,14421.965,14736.965,14787.965,14836.965,14931.965
,Europe,Mb/d,3680.034,4092.034,3989.034,3878.034,3986.034,3680.034,3804.034,3947.034,3749.034,3516.034,3919.034,3950.034,3952.034
,Middle East,Mb/d,30850.929,31066.929,31009.929,30883.929,30816.929,30878.929,31384.929,31508.929,31402.929,31468.929,31721.929,31496.929,30935.929
,North America,Mb/d,22774.323,22599.387,23159.5,23575.58,23293.667,23429.774,23565.167,24115.612,24878.548,24756.767,24997,25386.167,25458.032
,World,Mb/d,96098.812,96520.942,96805.642,96918.99,96966.945,96936.323,97782.74,98534.453,98991.012,99068.569,99937.619,100007.559,99305.106
,Crude Oil including Lease Condensate,,,,,,,,,,,,,,
,Africa,Mb/d,8129.16,8177.16,8115.16,8049.16,8034.16,7883.16,7493.16,7499.16,7946.16,8118.16,8040.16,8059.16,7847.16
,Asia & Oceania,Mb/d,7025.196,7063.196,7066.196,7025.196,6948.196,6944.196,7086.196,6923.196,6908.196,6865.196,6991.196,7027.196,7086.196
,Central & South America,Mb/d,6462.964,6425.03,6353.617,6255.885,6310.753,6287.024,6199.048,6147.316,6073.939,6006.277,6109.094,6040.867,6145.549
,Eurasia,Mb/d,13572.58,13573.58,13628.58,13615.58,13502.58,13565.58,13754.58,13839.58,13624.58,13938.58,13988.58,14036.58,14131.58
,Europe,Mb/d,2831.205,3201.205,3127.205,3005.205,3138.205,2857.205,2974.205,3068.205,2918.205,2749.205,3066.205,3082.205,3127.205
,Middle East,Mb/d,27550.412,27761.412,27708.412,27582.412,27519.412,27558.412,28080.412,28190.412,28085.412,28112.412,28437.412,28213.412,27747.412
,North America,Mb/d,16163.29,16101.677,16484.393,16701.032,16417.267,16556.516,16708.067,17067,17721.516,17520.667,17866.355,18192.3,18282.548
