Month,U.S. Crude Oil First Purchase Price Dollars per Barrel,CPI,Adjusted Crude Price 2010 USD
Jan-75,11.16,52.3,46.53485277
Feb-75,11.16,52.6,46.26944487
Mar-75,11.16,52.8,46.09418182
Apr-75,11.16,53,45.92024151
May-75,11.16,53.1,45.83376271
Jun-75,11.16,53.5,45.49108037
Jul-75,11.16,54,45.06986667
Aug-75,11.16,54.2,44.9035572
Sep-75,11.16,54.6,44.57459341
Oct-75,11.16,54.9,44.33101639
Nov-75,11.16,55.3,44.01035805
Dec-75,11.16,55.6,43.77289209
Jan-76,11.16,55.8,43.616
Feb-76,12.03,55.9,46.9320644
Mar-76,12.1,56,47.12085714
Apr-76,12.17,56.1,47.30897683
May-76,12.17,56.4,47.05733333
Jun-76,12.17,56.7,46.80835273
Jul-76,12.17,57,46.56199298
Aug-76,12.17,57.3,46.31821291
Sep-76,13.9,57.6,52.62694444
Oct-76,13.9,57.9,52.35426598
Nov-76,13.9,58.1,52.17404475
Dec-76,13.9,58.4,51.9060274
Jan-77,13.9,58.7,51.64074957
Feb-77,13.9,59.3,51.11824621
Mar-77,13.9,59.6,50.8609396
Apr-77,13.9,60,50.52186667
May-77,13.9,60.2,50.35401993
Jun-77,13.9,60.5,50.10433058
Jul-77,13.9,60.8,49.85710526
Aug-77,14.85,61.1,53.00307692
Sep-77,14.85,61.3,52.83014682
Oct-77,14.85,61.6,52.57285714
Nov-77,14.85,62,52.23367742
Dec-77,14.85,62.3,51.98215088
Jan-78,14.85,62.7,51.65052632
Feb-78,14.85,63,51.40457143
Mar-78,14.85,63.4,51.08025237
Apr-78,14.85,63.9,50.68056338
May-78,14.85,64.5,50.20911628
Jun-78,14.85,65,49.82289231
Jul-78,14.85,65.5,49.44256489
Aug-78,14.85,65.9,49.14245827
Sep-78,14.85,66.5,48.69906767
Oct-78,14.85,67.1,48.26360656
Nov-78,14.85,67.5,47.9776
Dec-78,14.85,67.9,47.69496318
Jan-79,14.85,68.5,47.27719708
Feb-79,15.85,69.2,49.95040462
Mar-79,15.85,69.9,49.45018598
Apr-79,15.85,70.6,48.95988669
May-79,18.1,71.4,55.28358543
Jun-79,19.1,72.2,57.69152355
Jul-79,21.75,73,64.97589041
Aug-79,26.5,73.7,78.41411126
Sep-79,28.5,74.4,83.53870968
Oct-79,29,75.2,84.1
Nov-79,31,76,88.95368421
Dec-79,32.5,76.9,92.16644993
Jan-80,32.5,78,90.86666667
Feb-80,37,79,102.1387342
Mar-80,38,80.1,103.4586767
Apr-80,39.5,80.9,106.47911
May-80,39.5,81.7,105.4364749
Jun-80,39.5,82.5,104.4140606
Jul-80,39.5,82.6,104.2876513
Aug-80,38,83.2,99.60384615
Sep-80,36,83.9,93.57425507
Oct-80,36,84.7,92.69043684
Nov-80,36,85.6,91.71588785
Dec-80,37,86.4,93.39074074
Jan-81,38,87.2,95.03486239
Feb-81,38,88,94.17090909
Mar-81,38,88.6,93.53318284
Apr-81,38,89.1,93.00830527
May-81,38,89.7,92.38617614
Jun-81,36,90.5,86.75005525
Jul-81,36,91.5,85.80196721
Aug-81,36,92.2,85.1505423
Sep-81,36,93.1,84.3273899
Oct-81,35,93.4,81.72162741
Nov-81,36,93.8,83.69808102
Dec-81,35,94.1,81.11370882
Jan-82,33.85,94.4,78.19923729
Feb-82,31.56,94.7,72.67798099
Mar-82,28.48,94.7,65.58519958
Apr-82,33.45,95,76.78711579
May-82,35.93,95.9,81.70609385
Jun-82,35.07,97,78.84603711
Jul-82,34.16,97.5,76.40628513
Aug-82,33.95,97.7,75.7811259
Sep-82,35.63,97.7,79.53111975
Oct-82,35.68,98.1,79.31798573
Nov-82,34.15,98,75.99420408
Dec-82,31.72,97.7,70.80345548
Jan-83,31.19,97.9,69.47819408
Feb-83,28.95,98,64.42261224
Mar-83,28.82,98.1,64.06794699
Apr-83,30.61,98.8,67.56506883
May-83,30,99.2,65.9516129
Jun-83,31,99.4,68.01287726
Jul-83,31.66,99.8,69.18249299
Aug-83,31.91,100.1,69.51980819
Sep-83,31.11,100.4,67.57439044
Oct-83,30.41,100.8,65.79179365
Nov-83,29.84,101.1,64.36703462
Dec-83,29.24,101.4,62.8861854
Jan-84,29.69,102.1,63.41621156
Feb-84,30.145,102.6,64.0742846
Mar-84,30.761,102.9,65.19299203
Apr-84,30.618,103.3,64.63865866
May-84,30.52,103.5,64.30726184
Jun-84,29.967,103.7,63.02028312
Jul-84,28.752,104.1,60.23281614
Aug-84,29.25,104.4,61.1
Sep-84,29.311,104.7,61.05198548
Oct-84,28.765,105.1,59.68669077
Nov-84,28.098,105.3,58.1919453
Dec-84,25.429,105.5,52.56451488
Jan-85,25.641,105.7,52.90245298
Feb-85,27.271,106.3,55.94788034
Mar-85,28.238,106.8,57.66051536
Apr-85,28.805,107,58.70835888
May-85,27.623,107.2,56.19425224
Jun-85,27.143,107.5,55.06367851
Jul-85,27.329,107.7,55.33805311
Aug-85,27.755,107.9,56.09648193
Sep-85,28.289,108.1,57.06998261
Oct-85,29.538,108.5,59.3700188
Nov-85,30.813,109,61.64861505
Dec-85,27.228,109.5,54.22723507
Jan-86,22.945,109.9,45.53089718
Feb-86,15.442,109.7,30.69818924
Mar-86,12.618,109.1,25.22212136
Apr-86,12.847,108.7,25.77436762
May-86,15.444,109,30.89933505
Jun-86,13.469,109.4,26.84935576
Jul-86,11.575,109.5,23.05274886
Aug-86,15.092,109.6,30.02977518
Sep-86,14.913,110,29.56570036
Oct-86,14.852,110.2,29.39132632
Nov-86,15.207,110.4,30.03933478
Dec-86,16.076,110.8,31.64128231
Jan-87,18.656,111.4,36.52154829
Feb-87,17.726,111.8,34.57679857
Mar-87,18.305,112.2,35.57891622
Apr-87,18.643,112.7,36.07511482
May-87,19.415,113,37.46923186
Jun-87,20.034,113.5,38.49352176
Jul-87,21.355,113.8,40.92353603
Aug-87,20.274,114.3,38.68201155
Sep-87,19.526,114.7,37.12493531
Oct-87,19.848,115,37.63871165
Nov-87,18.92,115.4,35.75453726
Dec-87,17.241,115.6,32.52523599
Jan-88,17.16,116,32.2608
Feb-88,16.765,116.2,31.46395181
Mar-88,16.217,116.5,30.35711039
Apr-88,17.875,117.2,33.2609215
May-88,17.438,117.5,32.364928
Jun-88,16.53,118,30.54968136
Jul-88,15.498,118.5,28.52155139
Aug-88,15.524,119,28.44936067
Sep-88,14.467,119.5,26.40136703
Oct-88,13.798,119.9,25.09647907
Nov-88,13.977,120.3,25.33752419
Dec-88,16.266,120.7,29.38930638
Jan-89,17.983,121.2,32.35753003
Feb-89,17.826,121.6,31.96952368
Mar-89,19.445,122.2,34.70184615
Apr-89,21.04,123.1,37.27378716
May-89,20.032,123.7,35.31591399
Jun-89,20.005,124.1,35.15463658
Jul-89,19.644,124.5,34.40934554
Aug-89,18.522,124.5,32.44399807
Sep-89,19.594,124.8,34.23925897
Oct-89,20.091,125.4,34.93975502
Nov-89,19.82,125.9,34.33157744
Dec-89,21.088,126.3,36.4122806
Jan-90,22.641,127.5,38.72587671
Feb-90,22.108,128,37.666505
Mar-90,20.418,128.6,34.62486345
Apr-90,18.582,128.9,31.43803382
May-90,18.237,129.1,30.806545
Jun-90,16.871,129.9,28.32353872
Jul-90,18.638,130.5,31.14616889
Aug-90,27.174,131.6,45.0312
Sep-90,33.687,132.5,55.44498838
Oct-90,35.922,133.4,58.72466087
Nov-90,32.3,133.7,52.68499626
Dec-90,27.337,134.2,44.42364352
Jan-91,24.959,134.7,40.40875071
Feb-91,20.523,134.8,33.20219466
Mar-91,19.86,134.8,32.1295905
Apr-91,20.823,135.1,33.61273013
May-91,21.24,135.6,34.15943363
Jun-91,20.195,136,32.38327647
Jul-91,21.42,136.2,34.297163
Aug-91,21.688,136.6,34.62459034
Sep-91,21.857,137,34.79251504
Oct-91,23.228,137.2,36.92100758
Nov-91,22.465,137.8,35.5527373
Dec-91,19.517,138.2,30.79788249
Jan-92,18.82,138.3,29.67654085
Feb-92,18.995,138.6,29.88765945
Mar-92,18.916,139.1,29.65637153
Apr-92,20.243,139.4,31.66853257
May-92,20.94,139.7,32.68858411
Jun-92,22.375,140.1,34.8289793
Jul-92,21.759,140.5,33.77368484
Aug-92,21.35,140.8,33.06823864
Sep-92,21.902,141.1,33.85108547
Oct-92,21.688,141.7,33.37839831
Nov-92,20.342,142.1,31.21874286
Dec-92,19.407,142.3,29.7419435
Jan-93,19.075,142.8,29.13078431
Feb-93,20.053,143.1,30.56015542
Mar-93,20.347,143.3,30.96492505
Apr-93,20.27,143.8,30.74048401
May-93,19.94,144.2,30.1561387
Jun-93,19.07,144.3,28.82041303
Jul-93,17.866,144.5,26.96344138
Aug-93,18.009,144.8,27.12294696
Sep-93,17.514,145,26.341056
Oct-93,18.145,145.6,27.17762088
Nov-93,16.699,146,24.94327342
Dec-93,14.51,146.3,21.62912372
Jan-94,15,146.3,22.3595352
Feb-94,14.78,146.7,21.97152284
Mar-94,14.66,147.1,21.73387356
Apr-94,16.38,147.2,24.26732609
May-94,17.88,147.5,26.43573153
Jun-94,19.07,147.9,28.11890196
Jul-94,19.65,148.4,28.87649596
Aug-94,18.38,149,26.90141208
Sep-94,17.46,149.3,25.50352847
Oct-94,17.71,149.4,25.8513842
Nov-94,18.1,149.8,26.35012016
Dec-94,17.16,150.1,24.93173085
Jan-95,17.99,150.5,26.06816744
Feb-95,18.53,150.9,26.7794725
Mar-95,18.55,151.2,26.75518519
Apr-95,19.87,151.8,28.54578129
May-95,19.74,152.1,28.30308481
Jun-95,18.42,152.4,26.35848819
Jul-95,17.3,152.6,24.72335518
Aug-95,18.03,152.9,25.71603924
Sep-95,18.23,153.1,25.96733116
Oct-95,17.44,153.5,24.77729772
Nov-95,17.99,153.7,25.52543396
Dec-95,19.04,153.9,26.98013775
Jan-96,18.88,154.7,26.61506399
Feb-96,19.07,155,26.83087484
Mar-96,21.36,155.5,29.95619807
Apr-96,23.57,156.1,32.92854324
May-96,21.25,156.4,29.63043478
Jun-96,20.45,156.7,28.46034461
Jul-96,21.32,157,29.61443057
Aug-96,21.96,157.2,30.46461069
Sep-96,23.99,157.7,33.17526443
Oct-96,24.9,158.2,34.32485461
Nov-96,23.71,158.7,32.58145432
Dec-96,25.39,159.1,34.80233312
Jan-97,25.17,159.4,34.43584442
Feb-97,22.21,159.7,30.32909706
Mar-97,20.99,159.8,28.64517647
Apr-97,19.72,159.9,26.89516948
May-97,20.83,159.9,28.40904565
Jun-97,19.17,160.2,26.09608989
Jul-97,19.63,160.4,26.68896758
Aug-97,19.93,160.8,27.02944279
Sep-97,19.79,161.2,26.7729727
Oct-97,21.26,161.5,28.70824025
Nov-97,20.17,161.7,27.20268151
Dec-97,18.32,161.8,24.69237083
Jan-98,16.71,162,22.49454815
Feb-98,16.06,162,21.6195358
Mar-98,15.02,162,20.21951605
Apr-98,15.44,162.2,20.7592799
May-98,14.86,162.6,19.93031242
Jun-98,13.66,162.8,18.29835872
Jul-98,14.08,163.2,18.8147451
Aug-98,13.36,163.4,17.83077601
Sep-98,14.95,163.5,19.94064832
Oct-98,14.39,163.9,19.14686516
Nov-98,12.85,164.1,17.07695308
Dec-98,11.28,164.4,14.96315328
Jan-99,12.47,164.7,16.51158227
Feb-99,12.01,164.7,15.90249423
Mar-99,14.66,164.8,19.39959223
Apr-99,17.34,165.9,22.79389512
May-99,17.75,166,23.31879518
Jun-99,17.89,166,23.50271807
Jul-99,20.07,166.7,26.25594241
Aug-99,21.26,167.1,27.74614482
Sep-99,23.88,167.8,31.03546126
Oct-99,22.64,168.1,29.37139322
Nov-99,24.97,168.4,32.33644656
Dec-99,26.08,168.8,33.69387678
Jan-00,27.18,169.3,35.01130774
Feb-00,29.35,170,37.65087059
Mar-00,29.89,171,38.11936374
