2018 U.S. and other top 5 total petroleum and other liquids production,,,,,,
https://www.eia.gov/beta/international/,,,,,,
20:42:10 GMT-0600 (Central Standard Time),,,,,,
Source: U.S. Energy Information Administration,,,,,,
Year,United States thousand barrels per day,Saudi Arabia thousand barrels per day,Russia thousand barrels per day,Canada thousand barrels per day,China thousand barrels per day,Iraq thousand barrels per day
2018,17936.19443,12418.69,11401.39827,5328.456808,4810.044795,4615.63589
2017,15647.15363,12104.92014,11222.92978,4964.133521,4793.450274,4455.624932
2016,14837.63951,12402.76104,11262.7462,4596.72482,4905.070874,4443.457393
2015,15147.12048,12087.38863,11052.11999,4511.270562,5180.376151,4039.981096
2014,14155.19995,11628.68047,10858.16907,4394.26537,5045.262795,3364.601096
2013,12394.19185,11699.72368,10770.62055,4073.071288,4911.730712,3049.020562
2012,11140.27316,11840.6744,10600.04269,3855.923536,4773.203475,2978.874333
2011,10150.29338,11469.86316,10412.1341,3596.913671,4660.013616,2623.603932
2010,9697.985655,10908.355,10290.05458,3441.730274,4575.155274,2396.780208
2009,9136.947778,10314.71145,10049.55234,3318.829118,4218.44863,2399.167096
2008,8563.532538,11428.60043,9875.032672,3348.246697,4166.931967,2384.552399
2007,8466.320373,10748.62285,9938.182175,3448.523233,4079.011233,2096.63549
2006,8314.320496,11098.43877,9732.350384,3292.078077,3980.215068,2009.44074
2005,8327.137027,11496.30799,9511.241178,3096.284614,3871.015918,1889.419534
2004,8722.267762,10796.24133,9273.770374,3139.357788,3722.752498,2020.566777
2003,8765.832877,10076.81061,8534.778552,3113.64521,3602.905986,1318.044453
2002,8998.432877,8809.506658,7658.891183,2953.699681,3549.861536,2039.791339
2001,8957.008216,9156.639951,7159.734757,2816.361848,3444.634864,2408.821705
2000,9057.775957,9475.748954,6723.63889,2753.144555,3388.527319,2581.968703
1999,8993.564384,8906.975342,6312.383562,2632.557534,3316.994521,2520.176712
1998,9278,9471.576712,6069.582192,2700.049315,3302.178082,2162.141096
1997,9460.594521,9400.294521,6101.084932,2627.471233,3284.342466,1172.357534
1996,9444.382514,9237.669945,6016.874317,2501.576503,3211.338798,593.1437158
1995,9399.934247,9235.190411,6172.721918,2452.794521,3060.049315,579.9
1994,9413.013699,9101.178082,6307.084932,2341.290411,2957.287671,567.2342466
1993,9602,8894,6951,2250,2903,523
1992,9768,9036,7819,2126,2852,421
1991,9883,8790,,2041,2836,302
1990,9678,7019,,2040,2768,2064
1989,9880,5555,,2031,2749,2945
1988,10473,5577,,2057,2722,2699
1987,10648,4674,,1960,2680,2086
1986,10905,5255,,1863,2588,1696
1985,11192,3778,,1848,2505,1447
1984,11107,5033,,1810,2296,1218
1983,10788,5430,,1692,2120,1014
1982,10783,6929,,1639,2045,1021
1981,10739,10265,,1663,2012,1009
1980,10809,10285,,1816,2114,2526
