Year,Country or Area,Year,Unit,Value,Value Footnotes
2015,Algeria,2015,Thousand units,0.14,1
2014,Algeria,2014,Thousand units,0.193,1
2013,Algeria,2013,Thousand units,0.467,1
2012,Algeria,2012,Thousand units,0.76,1
2011,Algeria,2011,Thousand units,0.686,1
2010,Algeria,2010,Thousand units,0.5,1
2009,Algeria,2009,Thousand units,0.285,1
2008,Algeria,2008,Thousand units,0.109,1
2007,Algeria,2007,Thousand units,0.094,1
2006,Algeria,2006,Thousand units,0.822,1
2005,Algeria,2005,Thousand units,0.503,1
2004,Algeria,2004,Thousand units,0.275,1
2003,Algeria,2003,Thousand units,0.19,1
2016,Argentina,2016,Thousand units,472.776,
2015,Argentina,2015,Thousand units,526.657,
2014,Argentina,2014,Thousand units,596.842,
2013,Argentina,2013,Thousand units,764.161,
2012,Argentina,2012,Thousand units,743.463,
2011,Argentina,2011,Thousand units,804.415,
2010,Argentina,2010,Thousand units,695.626,
2009,Argentina,2009,Thousand units,498.592,
2008,Argentina,2008,Thousand units,557.076,
2007,Argentina,2007,Thousand units,513.232,
2006,Argentina,2006,Thousand units,408.874,
2005,Argentina,2005,Thousand units,299.205,
2004,Argentina,2004,Thousand units,244.343,
2003,Argentina,2003,Thousand units,160.583,
2002,Argentina,2002,Thousand units,153.118,
2001,Argentina,2001,Thousand units,227.089,
2000,Argentina,2000,Thousand units,324.651,
1999,Argentina,1999,Thousand units,291.277,
1998,Argentina,1998,Thousand units,435.003,
1997,Argentina,1997,Thousand units,425.224,
1996,Argentina,1996,Thousand units,269.439,
1995,Argentina,1995,Thousand units,266.656,
2008,Australia,2008,Thousand units,342.688,2
2007,Australia,2007,Thousand units,334.863,2
2006,Australia,2006,Thousand units,352.002,2
2005,Australia,2005,Thousand units,398.819,2
2004,Australia,2004,Thousand units,413.655,2
2003,Australia,2003,Thousand units,358.286,2
2002,Australia,2002,Thousand units,318.951,2
2001,Australia,2001,Thousand units,340.099,2
2000,Australia,2000,Thousand units,314.475,2
1999,Australia,1999,Thousand units,340.446,2
1998,Australia,1998,Thousand units,312.809,2
1997,Australia,1997,Thousand units,304.405,2
1996,Australia,1996,Thousand units,302.551,2
1995,Australia,1995,Thousand units,300.969,
2016,Azerbaijan,2016,Mil. USD,1.253351483,
2016,Azerbaijan,2016,Thousand units,0.27,
2015,Azerbaijan,2015,Mil. USD,4.977727991,
2015,Azerbaijan,2015,Thousand units,0.725,
2014,Azerbaijan,2014,Mil. USD,16.57428627,
2014,Azerbaijan,2014,Thousand units,1.861,
2013,Azerbaijan,2013,Mil. USD,4.843595984,
2013,Azerbaijan,2013,Thousand units,0.463,
2012,Azerbaijan,2012,Mil. USD,5.600491255,
2012,Azerbaijan,2012,Thousand units,0.7,
2011,Azerbaijan,2011,Mil. USD,4.17887414,
2011,Azerbaijan,2011,Thousand units,0.558,
2010,Azerbaijan,2010,Mil. USD,0.97178602,
2010,Azerbaijan,2010,Thousand units,0.146,
2009,Azerbaijan,2009,Mil. USD,0.199058619,
2009,Azerbaijan,2009,Thousand units,0.018,
2008,Azerbaijan,2008,Mil. USD,1.582240776,
2008,Azerbaijan,2008,Thousand units,0.148,
2007,Azerbaijan,2007,Mil. USD,3.356159067,
2007,Azerbaijan,2007,Thousand units,0.407,
2006,Azerbaijan,2006,Mil. USD,4.477052309,
2006,Azerbaijan,2006,Thousand units,0.542,
2005,Azerbaijan,2005,Mil. USD,0.951956853,
