Date,Active_Rig_Count,Offshore_Rig_Supply,Offshore_Rig_Utilized,Offshore_Utilization_Rate,Crude_Price_2010_USD
Jan-75,2694,,,,46.53
Feb-75,2718,,,,46.27
Mar-75,2769,,,,46.09
Apr-75,2593,,,,45.92
May-75,2557,,,,45.83
Jun-75,2650,,,,45.49
Jul-75,2670,,,,45.07
Aug-75,2711,,,,44.9
Sep-75,2743,,,,44.57
Oct-75,2801,,,,44.33
Nov-75,2853,,,,44.01
Dec-75,2899,,,,43.77
Jan-76,2871,,,,43.62
Feb-76,2765,,,,46.93
Mar-76,2699,,,,47.12
Apr-76,2511,,,,47.31
May-76,2578,,,,47.06
Jun-76,2698,,,,46.81
Jul-76,2723,,,,46.56
Aug-76,2848,,,,46.32
Sep-76,2888,,,,52.63
Oct-76,2926,,,,52.35
Nov-76,2976,,,,52.17
Dec-76,3013,,,,51.91
Jan-77,3033,,,,51.64
Feb-77,3095,,,,51.12
Mar-77,3123,,,,50.86
Apr-77,3012,,,,50.52
May-77,3098,,,,50.35
Jun-77,3182,,,,50.1
Jul-77,3233,,,,49.86
Aug-77,3317,,,,53
Sep-77,3313,,,,52.83
Oct-77,3353,,,,52.57
Nov-77,3398,,,,52.23
Dec-77,3444,,,,51.98
Jan-78,3403,,,,51.65
Feb-78,3452,,,,51.4
Mar-78,3486,,,,51.08
Apr-78,3423,,,,50.68
May-78,3507,,,,50.21
Jun-78,3605,,,,49.82
Jul-78,3667,,,,49.44
Aug-78,3712,,,,49.14
Sep-78,3701,,,,48.7
Oct-78,3738,,,,48.26
Nov-78,3800,,,,47.98
Dec-78,3737,,,,47.69
Jan-79,3610,,,,47.28
Feb-79,3520,,,,49.95
Mar-79,3409,,,,49.45
Apr-79,3271,,,,48.96
May-79,3270,,,,55.28
Jun-79,3436,,,,57.69
Jul-79,3565,,,,64.98
Aug-79,3749,,,,78.41
Sep-79,3865,,,,83.54
Oct-79,3963,,,,84.1
Nov-79,4070,,,,88.95
Dec-79,4176,,,,92.17
Jan-80,4155,,,,90.87
Feb-80,4275,,,,102.14
Mar-80,4318,,,,103.46
Apr-80,4271,,,,106.48
May-80,4442,,,,105.44
Jun-80,4534,,,,104.41
Jul-80,4674,,,,104.29
Aug-80,4796,,,,99.6
Sep-80,4835,,,,93.57
Oct-80,4905,,,,92.69
Nov-80,4989,,,,91.72
Dec-80,5037,,,,93.39
Jan-81,5105,,,,95.03
Feb-81,5309,,,,94.17
Mar-81,5382,,,,93.53
Apr-81,5267,,,,93.01
May-81,5358,,,,92.39
Jun-81,5515,,,,86.75
Jul-81,5605,,,,85.8
Aug-81,5750,,,,85.15
Sep-81,5885,,,,84.33
Oct-81,5995,,,,81.72
Nov-81,6093,,,,83.7
Dec-81,6227,,,,81.11
Jan-82,6148,,,,78.2
Feb-82,5965,,,,72.68
Mar-82,5589,,,,65.59
Apr-82,5035,,,,76.79
May-82,4741,,,,81.71
Jun-82,4513,,,,78.85
Jul-82,4350,,,,76.41
Aug-82,4226,,,,75.78
Sep-82,4088,,,,79.53
Oct-82,4038,,,,79.32
Nov-82,4260,,,,75.99
Dec-82,4489,,,,70.8
Jan-83,4279,,,,69.48
Feb-83,3806,,,,64.42
Mar-83,3551,,,,64.07
Apr-83,3203,,,,67.57
May-83,3275,,,,65.95
Jun-83,3439,,,,68.01
Jul-83,3500,,,,69.18
Aug-83,3656,,,,69.52
Sep-83,3706,,,,67.57
Oct-83,3799,,,,65.79
Nov-83,4011,,,,64.37
Dec-83,4270,,,,62.89
Jan-84,4133,,,,63.42
Feb-84,3971,,,,64.07
Mar-84,3789,,,,65.19
Apr-84,3454,,,,64.64
May-84,3655,,,,64.31
Jun-84,3800,,,,63.02
Jul-84,3858,,,,60.23
Aug-84,3928,,,,61.1
Sep-84,3911,,,,61.05
Oct-84,3995,,,,59.69
Nov-84,4174,,,,58.19
Dec-84,4331,,,,52.56
Jan-85,4050,,,,52.9
Feb-85,3836,,,,55.95
Mar-85,3610,,,,57.66
Apr-85,3281,,,,58.71
May-85,3310,,,,56.19
Jun-85,3455,,,,55.06
Jul-85,3516,,,,55.34
Aug-85,3546,,,,56.1
Sep-85,3507,,,,57.07
Oct-85,3464,,,,59.37
Nov-85,3550,656.13,560.67,85.45,61.65
Dec-85,3618,655.52,557.97,85.12,54.23
Jan-86,3495,658.23,541.16,82.22,45.53
Feb-86,3123,656.32,512.18,78.04,30.7
Mar-86,2681,655.81,467.77,71.33,25.22
Apr-86,2144,656.23,432.13,65.85,25.77
May-86,1938,658.19,407.35,61.89,30.9
Jun-86,1851,653.07,397.93,60.93,26.85
Jul-86,1772,656.48,397.9,60.61,23.05
Aug-86,1823,656.19,379.87,57.89,30.03
Sep-86,1826,657.03,382.33,58.19,29.57
Oct-86,1903,656.23,384.35,58.57,29.39
Nov-86,1957,653.27,395.77,60.58,30.04
Dec-86,2132,654.74,392.97,60.02,31.64
Jan-87,2125,654.03,381.48,58.33,36.52
Feb-87,1909,653.75,369.5,56.52,34.58
Mar-87,1889,645.84,376.58,58.31,35.58
Apr-87,1782,644.7,379.97,58.94,36.08
May-87,1785,644.45,399.1,61.93,37.47
Jun-87,1879,644.3,411.9,63.93,38.49
Jul-87,2027,643.94,435.61,67.65,40.92
Aug-87,2166,641.87,442.81,68.99,38.68
Sep-87,2336,641.37,448.67,69.95,37.12
Oct-87,2396,638.61,456.29,71.45,37.64
Nov-87,2461,636.97,462.63,72.63,35.75
Dec-87,2411,634.58,463.87,73.1,32.53
Jan-88,2283,632.97,466.29,73.67,32.26
Feb-88,2313,632.07,466.1,73.74,31.46
Mar-88,2301,632.55,468.97,74.14,30.36
Apr-88,2052,631.47,469.23,74.31,33.26
May-88,2063,628.97,467.77,74.37,32.36
Jun-88,2114,628.67,472.63,75.18,30.55
Jul-88,2121,627.68,467.9,74.55,28.52
Aug-88,2144,628,463.87,73.86,28.45
Sep-88,2218,625,458.33,73.33,26.4
Oct-88,2145,623.81,459.87,73.72,25.1
Nov-88,2185,623.9,457.8,73.38,25.34
Dec-88,2031,621.68,449.29,72.27,29.39
Jan-89,1955,619.45,433.94,70.05,32.36
Feb-89,1957,614.64,434.54,70.7,31.97
Mar-89,1919,614.48,443.52,72.18,34.7
Apr-89,1802,613.7,446.07,72.68,37.27
May-89,1735,613.1,459.9,75.01,35.32
Jun-89,1787,610.63,468.4,76.71,35.15
Jul-89,1832,608.9,469.68,77.13,34.41
Aug-89,1866,604.29,468.13,77.47,32.44
Sep-89,1951,603.1,472.87,78.41,34.24
Oct-89,2020,599.39,481.03,80.25,34.94
Nov-89,2079,596.97,481.3,80.62,34.33
Dec-89,2127,595.74,476.61,80,36.41
Jan-90,2073,596.9,472.13,79.1,38.73
Feb-90,2049,597.46,474.71,79.45,37.67
Mar-90,2054,597.16,475.55,79.63,34.62
Apr-90,1947,595.47,476.43,80.01,31.44
May-90,1964,596.77,486.65,81.55,30.81
Jun-90,2037,597.2,484.1,81.06,28.32
Jul-90,2029,595.94,482.42,80.95,31.15
Aug-90,1987,596.77,485.35,81.33,45.03
Sep-90,2004,596.63,483.3,81,55.44
Oct-90,2069,597.35,485.48,81.27,58.72
Nov-90,2202,596.67,484.73,81.24,52.68
Dec-90,2214,598.1,476,79.59,44.42
