"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2018&vo=0&v=H&start=1980&end=2018&s=INTL.44-1-AFRC-QBTU.A&showdm=y"
"Tue Nov 12 2019 11:03:31 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"","Gross Domestic Product","billion $2010 ppp"
"","GDP",""
"","Afghanistan","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,27.1184,25.2042,24.4172,21.7482,22.0994,16.5823,12.8909,19.3279,18.3092,17.368,16.5797,15.775,14.9068,14.0608,23.1999,25.1086,25.697,28.2414,30.8286,35.7903,36.625,42.9336,44.323,48.1706,53.4357,56.8961,58.6395,57.5893,59.6389,61.1299,63.2694
"","Albania","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,13.9482,15.3202,13.8532,9.97399,9.25592,10.1445,10.9865,12.4477,13.5807,12.1088,13.1997,14.9818,15.9743,17.2427,17.9723,19.0038,20.082,21.2386,22.3921,23.7144,25.5015,26.3569,27.334,28.0298,28.4271,28.7119,29.2214,29.8787,30.8758,32.0524,33.3901
"","Algeria","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,247.149,258.023,260.087,256.966,261.592,256.098,253.793,263.438,274.238,277.255,291.395,300.72,312.147,321.512,339.516,363.961,379.612,402.009,408.843,422.744,432.889,439.816,455.649,468.863,484.804,498.379,517.317,536.458,553.624,561.376,574.287
"","American Samoa","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Angola","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,58.062,58.2942,58.1194,57.4219,53.4598,40.2552,41.6642,45.9972,51.1489,55.1897,58.9452,60.8549,62.6879,65.334,74.3627,76.586,84.9745,97.7453,109.033,124.308,138.188,139.377,145.516,150.568,163.43,171.527,179.799,181.496,176.813,176.553,169.65
"","Antarctica","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Antigua and Barbuda","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.987349,1.03921,1.0705,1.09381,1.10648,1.1649,1.24267,1.1885,1.267,1.33631,1.39954,1.45143,1.54856,1.47184,1.48692,1.57699,1.66746,1.77438,1.98644,2.18544,2.18478,1.92026,1.782,1.74495,1.80614,1.80426,1.89632,1.97332,2.07874,2.1632,2.2389
"","Argentina","billion $2010 ppp",425.8948,403.6268,390.879,406.9522,415.0866,386.2373,413.8048,424.5269,416.485,387.5958,380.5018,420.7529,461.172,483.186,511.385,496.837,524.294,566.82,588.642,568.715,564.228,539.352,480.592,523.063,547.533,595.998,643.958,701.964,730.443,687.212,756.796,802.234,793.999,813.097,792.668,814.316,799.476,822.295,801.148
