International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=g0q0000g0000100001004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=3002-A&vs=INTL.3-1-AFG-BCF.A&cy=2011&vo=0&v=H&start=1980&s=INTL.44-1-AFRC-QBTU.A&showdm=y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 12 2019 10:54:34 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.4382467,16,11,10.59,10.59,7.06,8.12245,8.12245,8.12245,8.12245,8.12245,1.76575,1.76575,0.7063,0.7063,0.7063,0.7063,1.4126,1.76575,1.05945,4.9441,4.9441,5.636274,5.636274,5.636274,6.674535,NA,NA,-,-
,Albania,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,3.602,3.178,2.47,1.77,1.76575,1.4126,1.76575,1.4126,1.76575,1.76575,1.76575,1.76575,1.76575,1.76575,1.76575,1.05945,1.76575,1.76575,1.05945,0.7063,0.600355,0.670985,1.13008,1.236025,NA,NA,-,-
,Algeria,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4471,4458,4486,4722.67,4700.78,4864.29,4903.1346,5259.1098,5299.3689,5347.04415,5757.40445,5668.0575,5671.589,5819.912,6078.06465,6819.361815,6836.984,6998.79733,7104.88359,6954.123855,6787.89615,6714.335005,6448.483685,6338.68935,6594.15806,6491.74456,NA,NA,-,-
,American Samoa,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Angola,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,83,65,105.945,98.88,183.638,204.827,219.6593,233.079,257.7995,254.268,250.7365,296.646,243.6735,275.457,300.1775,331.961,381.75515,354.91575,356.6815,364.4508,379.035895,383.061805,379.9894,369.04175,372.255415,NA,NA,-,-
,Antarctica,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
