Entity,Code,Year,Gas Production - Mtoe (terawatt-hours)
Africa,,1970,32.825693
Africa,,1971,40.23568299
Africa,,1972,71.06186306
Africa,,1973,106.8983086
Africa,,1974,111.260545
Africa,,1975,125.4969637
Africa,,1976,149.4959273
Africa,,1977,152.4715688
Africa,,1978,203.2352436
Africa,,1979,308.5233101
Africa,,1980,256.7789938
Africa,,1981,272.2275196
Africa,,1982,333.0577779
Africa,,1983,446.019164
Africa,,1984,469.2673838
Africa,,1985,517.5486347
Africa,,1986,543.4671368
Africa,,1987,592.2776325
Africa,,1988,632.4509795
Africa,,1989,694.7490079
Africa,,1990,720.547618
Africa,,1991,773.5993926
Africa,,1992,822.2954143
Africa,,1993,853.3003767
Africa,,1994,810.6893301
Africa,,1995,892.8769449
Africa,,1996,956.2901137
Africa,,1997,1064.541245
Africa,,1998,1139.643627
Africa,,1999,1244.097065
Africa,,2000,1388.742163
Africa,,2001,1432.160589
Africa,,2002,1492.865462
Africa,,2003,1613.824347
Africa,,2004,1691.866753
Africa,,2005,1852.922232
Africa,,2006,2015.690709
Africa,,2007,2128.941898
Africa,,2008,2218.55936
Africa,,2009,2090.000755
Africa,,2010,2232.013112
Africa,,2011,2191.547727
Africa,,2012,2243.636607
Africa,,2013,2159.367568
Africa,,2014,2167.221647
Africa,,2015,2198.430904
Africa,,2016,2180.660316
Algeria,DZA,1970,26.5164
Algeria,DZA,1971,27.94689
Algeria,DZA,1972,35.41335
Algeria,DZA,1973,46.99683
Algeria,DZA,1974,54.33536
Algeria,DZA,1975,66.90739
Algeria,DZA,1976,84.27098
Algeria,DZA,1977,80.65405
Algeria,DZA,1978,125.08065
Algeria,DZA,1979,205.02527
Algeria,DZA,1980,154.0975
Algeria,DZA,1981,178.64843
Algeria,DZA,1982,233.10009
Algeria,DZA,1983,333.79263
Algeria,DZA,1984,339.75882
Algeria,DZA,1985,373.38115
Algeria,DZA,1986,381.89431
Algeria,DZA,1987,431.0078
Algeria,DZA,1988,450.58109
Algeria,DZA,1989,485.83162
Algeria,DZA,1990,516.56971
Algeria,DZA,1991,557.03048
Algeria,DZA,1992,580.01136
Algeria,DZA,1993,587.46619
Algeria,DZA,1994,540.10883
Algeria,DZA,1995,614.91299
Algeria,DZA,1996,652.51278
Algeria,DZA,1997,748.58821
Algeria,DZA,1998,801.62101
Algeria,DZA,1999,901.06914
Algeria,DZA,2000,918.8863
Algeria,DZA,2001,864.72539
Algeria,DZA,2002,889.41588
Algeria,DZA,2003,938.57589
Algeria,DZA,2004,920.54939
Algeria,DZA,2005,923.39874
Algeria,DZA,2006,884.116089
Algeria,DZA,2007,887.884209
Algeria,DZA,2008,898.267473
Algeria,DZA,2009,832.64985
Algeria,DZA,2010,841.672404
Algeria,DZA,2011,865.6209
Algeria,DZA,2012,853.0605
Algeria,DZA,2013,862.79481
Algeria,DZA,2014,871.859232
Algeria,DZA,2015,885.5082
Algeria,DZA,2016,955.6371
Argentina,ARG,1970,63.01134
Argentina,ARG,1971,65.74625
Argentina,ARG,1972,64.595
Argentina,ARG,1973,66.8455
Argentina,ARG,1974,66.0545
Argentina,ARG,1975,75.0035
Argentina,ARG,1976,77.272
Argentina,ARG,1977,78.16125
Argentina,ARG,1978,74.0575
Argentina,ARG,1979,87.0925
Argentina,ARG,1980,99.41275
Argentina,ARG,1981,99.3835
Argentina,ARG,1982,107.84175
Argentina,ARG,1983,123.494
Argentina,ARG,1984,133.98
Argentina,ARG,1985,139.00125
Argentina,ARG,1986,162.8315
Argentina,ARG,1987,166.12375
Argentina,ARG,1988,196.417
Argentina,ARG,1989,209.06225
Argentina,ARG,1990,197.89425
Argentina,ARG,1991,212.1335
Argentina,ARG,1992,219.70675
Argentina,ARG,1993,220.33725
Argentina,ARG,1994,227.44325
Argentina,ARG,1995,250.93925
Argentina,ARG,1996,277.211
Argentina,ARG,1997,290.43125
Argentina,ARG,1998,313.47975
Argentina,ARG,1999,357.729
