Entity,Code,Year,"Oil consumption, terrawatt-hours (TWh) (terawatt-hours)"
Africa,,1965,316.7773001
Africa,,1966,347.3688632
Africa,,1967,344.1296685
Africa,,1968,363.1425067
Africa,,1969,368.629932
Africa,,1970,409.3456166
Africa,,1971,460.7409183
Africa,,1972,499.3394123
Africa,,1973,536.6344732
Africa,,1974,555.1184177
Africa,,1975,581.416477
Africa,,1976,650.0473991
Africa,,1977,684.2800918
Africa,,1978,716.2458668
Africa,,1979,760.3071804
Africa,,1980,811.9596631
Africa,,1981,859.8852986
Africa,,1982,904.4871091
Africa,,1983,936.0344544
Africa,,1984,957.2511329
Africa,,1985,978.2712109
Africa,,1986,963.1666389
Africa,,1987,1011.36451
Africa,,1988,1061.413257
Africa,,1989,1096.854205
Africa,,1990,1115.95365
Africa,,1991,1118.18626
Africa,,1992,1139.430475
Africa,,1993,1154.363199
Africa,,1994,1179.913003
Africa,,1995,1222.507083
Africa,,1996,1254.757838
Africa,,1997,1291.83582
Africa,,1998,1322.598102
Africa,,1999,1371.203705
Africa,,2000,1377.30177
Africa,,2001,1393.652295
Africa,,2002,1417.240346
Africa,,2003,1453.795245
Africa,,2004,1526.042524
Africa,,2005,1605.678855
Africa,,2006,1606.460685
Africa,,2007,1675.305075
Africa,,2008,1763.860543
Africa,,2009,1821.436027
Africa,,2010,1913.056088
Africa,,2011,1854.332346
Africa,,2012,1960.85632
Africa,,2013,2039.573465
Africa,,2014,2064.526722
Africa,,2015,2117.744464
Africa,,2016,2156.143916
Algeria,DZA,1965,14.99107
Algeria,DZA,1966,19.68959
Algeria,DZA,1967,18.35214
Algeria,DZA,1968,19.56166
Algeria,DZA,1969,20.64325
Algeria,DZA,1970,23.63216
Algeria,DZA,1971,26.60944
Algeria,DZA,1972,29.23782
Algeria,DZA,1973,31.85457
Algeria,DZA,1974,35.30868
Algeria,DZA,1975,39.28614
Algeria,DZA,1976,45.08951
Algeria,DZA,1977,51.172
Algeria,DZA,1978,52.57923
Algeria,DZA,1979,63.0346
Algeria,DZA,1980,63.60447
Algeria,DZA,1981,68.48907
Algeria,DZA,1982,72.62935
Algeria,DZA,1983,81.53793
Algeria,DZA,1984,90.2488
Algeria,DZA,1985,92.64458
Algeria,DZA,1986,93.94714
Algeria,DZA,1987,94.87754
Algeria,DZA,1988,94.99384
Algeria,DZA,1989,99.47139
Algeria,DZA,1990,106.48428
Algeria,DZA,1991,105.47247
Algeria,DZA,1992,105.98419
Algeria,DZA,1993,105.58877
Algeria,DZA,1994,100.8321
Algeria,DZA,1995,98.07579
Algeria,DZA,1996,93.7378
Algeria,DZA,1997,92.87718
Algeria,DZA,1998,95.56371
Algeria,DZA,1999,94.3193
Algeria,DZA,2000,98.65729
Algeria,DZA,2001,102.13466
Algeria,DZA,2002,113.20642
Algeria,DZA,2003,117.75375
Algeria,DZA,2004,123.1617
Algeria,DZA,2005,128.3300255
Algeria,DZA,2006,133.929917
Algeria,DZA,2007,150.0335862
Algeria,DZA,2008,163.0610666
Algeria,DZA,2009,172.91484
Algeria,DZA,2010,172.53105
Algeria,DZA,2011,184.11453
Algeria,DZA,2012,195.63986
Algeria,DZA,2013,204.24606
Algeria,DZA,2014,205.3858
Algeria,DZA,2015,226.350038
Algeria,DZA,2016,219.719775
