Macrotrends Data Download,,,,,,,,https://www.macrotrends.net/2562/us-crude-oil-production-historical-chart
,,,,,,,,
U.S. Crude Oil Production - Historical Chart,,,,,,,,
,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,
,,,,,,,,
,,,,,,,,
date, value,barrels / day,,,,,,
1/1/83,8634,,,,,,,
2/1/83,8660,,,,,,,
3/1/83,8677,,,,,,,
4/1/83,8686,,,,,,,
5/1/83,8682,,,,,,,
6/1/83,8676,,,,,,,
7/1/83,8647,,,,,,,
8/1/83,8653,,,,,,,
9/1/83,8666,,,,,,,
10/1/83,8654,,,,,,,
11/1/83,8624,,,,,,,
12/1/83,8612,,,,,,,
1/1/84,8659,,,,,,,
2/1/84,8726,,,,,,,
3/1/84,8718,,,,,,,
4/1/84,8688,,,,,,,
5/1/84,8753,,,,,,,
6/1/84,8743,,,,,,,
7/1/84,8769,,,,,,,
8/1/84,8781,,,,,,,
9/1/84,8759,,,,,,,
10/1/84,8847,,,,,,,
11/1/84,8846,,,,,,,
12/1/84,8797,,,,,,,
1/1/85,8929,,,,,,,
2/1/85,8928,,,,,,,
3/1/85,8927,,,,,,,
4/1/85,8842,,,,,,,
5/1/85,8969,,,,,,,
6/1/85,8965,,,,,,,
7/1/85,8904,,,,,,,
8/1/85,8895,,,,,,,
9/1/85,8874,,,,,,,
10/1/85,8943,,,,,,,
11/1/85,8932,,,,,,,
12/1/85,8930,,,,,,,
1/1/86,8942,,,,,,,
2/1/86,8939,,,,,,,
3/1/86,8939,,,,,,,
4/1/86,8815,,,,,,,
5/1/86,8805,,,,,,,
6/1/86,8792,,,,,,,
7/1/86,8737,,,,,,,
8/1/86,8708,,,,,,,
9/1/86,8671,,,,,,,
10/1/86,8773,,,,,,,
11/1/86,8321,,,,,,,
12/1/86,8348,,,,,,,
1/1/87,8354,,,,,,,
2/1/87,8383,,,,,,,
3/1/87,8336,,,,,,,
4/1/87,8361,,,,,,,
5/1/87,8296,,,,,,,
6/1/87,8303,,,,,,,
7/1/87,8287,,,,,,,
8/1/87,8204,,,,,,,
9/1/87,8162,,,,,,,
10/1/87,8281,,,,,,,
11/1/87,8283,,,,,,,
12/1/87,8348,,,,,,,
1/1/88,8395,,,,,,,
2/1/88,8353,,,,,,,
3/1/88,8306,,,,,,,
4/1/88,8269,,,,,,,
5/1/88,8240,,,,,,,
6/1/88,8210,,,,,,,
7/1/88,8189,,,,,,,
8/1/88,8128,,,,,,,
9/1/88,8147,,,,,,,
10/1/88,8085,,,,,,,
11/1/88,8026,,,,,,,
12/1/88,8035,,,,,,,
1/1/89,8021,,,,,,,
2/1/89,7965,,,,,,,
3/1/89,7921,,,,,,,
4/1/89,7880,,,,,,,
5/1/89,7843,,,,,,,
6/1/89,7726,,,,,,,
7/1/89,7622,,,,,,,
8/1/89,7662,,,,,,,
9/1/89,7641,,,,,,,
10/1/89,7644,,,,,,,
11/1/89,7601,,,,,,,
12/1/89,7565,,,,,,,
1/1/90,7512,,,,,,,
2/1/90,7399,,,,,,,
3/1/90,7411,,,,,,,
4/1/90,7310,,,,,,,
5/1/90,7241,,,,,,,
6/1/90,6981,,,,,,,
7/1/90,7130,,,,,,,
8/1/90,6971,,,,,,,
9/1/90,7041,,,,,,,
10/1/90,7329,,,,,,,
11/1/90,7235,,,,,,,
12/1/90,7559,,,,,,,
1/1/91,7219,,,,,,,
2/1/91,7415,,,,,,,
3/1/91,7383,,,,,,,
4/1/91,7346,,,,,,,
5/1/91,7323,,,,,,,
6/1/91,7377,,,,,,,
7/1/91,7355,,,,,,,
8/1/91,7274,,,,,,,
9/1/91,7365,,,,,,,
10/1/91,7384,,,,,,,
11/1/91,7226,,,,,,,
12/1/91,7449,,,,,,,
1/1/92,7357,,,,,,,
2/1/92,7365,,,,,,,
3/1/92,7283,,,,,,,
4/1/92,7238,,,,,,,
5/1/92,7219,,,,,,,
6/1/92,7194,,,,,,,
7/1/92,7059,,,,,,,
8/1/92,6678,,,,,,,
9/1/92,7049,,,,,,,
10/1/92,7041,,,,,,,
11/1/92,7064,,,,,,,
12/1/92,7053,,,,,,,
1/1/93,7035,,,,,,,
2/1/93,6981,,,,,,,
3/1/93,6964,,,,,,,
4/1/93,6913,,,,,,,
5/1/93,6842,,,,,,,
6/1/93,6749,,,,,,,
7/1/93,6730,,,,,,,
8/1/93,6790,,,,,,,
9/1/93,6650,,,,,,,
10/1/93,6868,,,,,,,
11/1/93,6878,,,,,,,
12/1/93,6857,,,,,,,
1/1/94,6886,,,,,,,
2/1/94,6792,,,,,,,
3/1/94,6599,,,,,,,
4/1/94,6748,,,,,,,
5/1/94,6629,,,,,,,
6/1/94,6656,,,,,,,
7/1/94,6566,,,,,,,
8/1/94,6583,,,,,,,
9/1/94,6640,,,,,,,
10/1/94,6633,,,,,,,
11/1/94,6626,,,,,,,
12/1/94,6675,,,,,,,
1/1/95,6526,,,,,,,
2/1/95,6546,,,,,,,
3/1/95,6380,,,,,,,
4/1/95,6539,,,,,,,
5/1/95,6626,,,,,,,
6/1/95,6545,,,,,,,
7/1/95,6484,,,,,,,
8/1/95,6483,,,,,,,
9/1/95,6450,,,,,,,
10/1/95,6512,,,,,,,
11/1/95,6484,,,,,,,
12/1/95,6474,,,,,,,
1/1/96,6405,,,,,,,
2/1/96,6501,,,,,,,
3/1/96,6440,,,,,,,
4/1/96,6173,,,,,,,
5/1/96,6392,,,,,,,
6/1/96,6489,,,,,,,
7/1/96,6394,,,,,,,
8/1/96,6526,,,,,,,
9/1/96,6520,,,,,,,
10/1/96,6514,,,,,,,
11/1/96,6538,,,,,,,
12/1/96,6506,,,,,,,
1/1/97,6505,,,,,,,
2/1/97,6501,,,,,,,
3/1/97,6409,,,,,,,
4/1/97,6465,,,,,,,
5/1/97,6439,,,,,,,
6/1/97,6357,,,,,,,
7/1/97,6337,,,,,,,
8/1/97,6400,,,,,,,
9/1/97,6396,,,,,,,
10/1/97,6400,,,,,,,
11/1/97,6416,,,,,,,
12/1/97,6462,,,,,,,
1/1/98,6377,,,,,,,
2/1/98,6368,,,,,,,
3/1/98,6405,,,,,,,
4/1/98,6397,,,,,,,
5/1/98,6346,,,,,,,
6/1/98,6269,,,,,,,
7/1/98,6340,,,,,,,
8/1/98,6346,,,,,,,
9/1/98,6396,,,,,,,
10/1/98,6417,,,,,,,
11/1/98,6401,,,,,,,
12/1/98,6437,,,,,,,
1/1/99,6363,,,,,,,
2/1/99,5911,,,,,,,
3/1/99,5864,,,,,,,
4/1/99,5877,,,,,,,
5/1/99,5845,,,,,,,
6/1/99,5884,,,,,,,
7/1/99,5898,,,,,,,
8/1/99,5994,,,,,,,
9/1/99,5973,,,,,,,
10/1/99,6111,,,,,,,
11/1/99,6006,,,,,,,
12/1/99,6043,,,,,,,
1/1/00,5988,,,,,,,
2/1/00,6007,,,,,,,
3/1/00,5873,,,,,,,
