country,Count,year,Type
U.S.,3117.0,1982,In-Land
Canada,200.0,1982,In-Land
Austria,9.0,1982,In-Land
Denmark,0.0,1982,In-Land
France,21.0,1982,In-Land
Germany,31.0,1982,In-Land
Greece,2.0,1982,In-Land
Netherlands,8.0,1982,In-Land
Hungary,0.0,1982,In-Land
Italy,31.0,1982,In-Land
Norway,0.0,1982,In-Land
Poland,0.0,1982,In-Land
Romania,0.0,1982,In-Land
Spain,7.0,1982,In-Land
Turkey,34.0,1982,In-Land
U.K.,2.0,1982,In-Land
Yugoslavia/Croatia,24.0,1982,In-Land
Oth Eur,2.0,1982,In-Land
Abu Dhabi*,18.0,1982,In-Land
Dubai*,1.0,1982,In-Land
Egypt,14.0,1982,In-Land
Iran*,2.0,1982,In-Land
Iraq*,11.0,1982,In-Land
Jordan,0.0,1982,In-Land
Kuwait*,4.0,1982,In-Land
Oman,11.0,1982,In-Land
Pakistan,16.0,1982,In-Land
Qatar*,3.0,1982,In-Land
Saudi Arabia*,16.0,1982,In-Land
Sudan,0.0,1982,In-Land
Syria,15.0,1982,In-Land
Yemen,0.0,1982,In-Land
Oth Mid East,5.0,1982,In-Land
Algeria*,81.0,1982,In-Land
Angola,3.0,1982,In-Land
Congo,1.0,1982,In-Land
Gabon*,3.0,1982,In-Land
Kenya,0.0,1982,In-Land
Libya*,29.0,1982,In-Land
Nigeria*,16.0,1982,In-Land
S. Africa,0.0,1982,In-Land
Tunisia,8.0,1982,In-Land
Oth Africa,13.0,1982,In-Land
Argentina,65.0,1982,In-Land
Bolivia,11.0,1982,In-Land
Brazil,63.0,1982,In-Land
Chile,4.0,1982,In-Land
Colombia,22.0,1982,In-Land
Costa Rica,0.0,1982,In-Land
Ecuador*,5.0,1982,In-Land
Mexico,180.0,1982,In-Land
Peru,18.0,1982,In-Land
Trinidad,8.0,1982,In-Land
Venezuela*,52.0,1982,In-Land
Oth L.A.,7.0,1982,In-Land
Australia,24.0,1982,In-Land
Bangladesh,5.0,1982,In-Land
Brunei,3.0,1982,In-Land
India,41.0,1982,In-Land
Indonesia*,60.0,1982,In-Land
Japan,18.0,1982,In-Land
Malaysia,0.0,1982,In-Land
Myanmar,32.0,1982,In-Land
New Zealand,1.0,1982,In-Land
Off China,0.0,1982,In-Land
Papua New Guinea,0.0,1982,In-Land
Phillippines,12.0,1982,In-Land
Taiwan,3.0,1982,In-Land
Thailand,3.0,1982,In-Land
Vietnam,0.0,1982,In-Land
Oth Far East,2.0,1982,In-Land
U.S.,2229.0,1983,In-Land
Canada,201.0,1983,In-Land
Austria,9.0,1983,In-Land
Denmark,1.0,1983,In-Land
France,17.0,1983,In-Land
Germany,26.0,1983,In-Land
Greece,2.0,1983,In-Land
Netherlands,6.0,1983,In-Land
Hungary,0.0,1983,In-Land
Italy,20.0,1983,In-Land
Norway,0.0,1983,In-Land
Poland,0.0,1983,In-Land
Romania,0.0,1983,In-Land
Spain,4.0,1983,In-Land
Turkey,26.0,1983,In-Land
U.K.,2.0,1983,In-Land
Yugoslavia/Croatia,20.0,1983,In-Land
Oth Eur,1.0,1983,In-Land
Abu Dhabi*,12.0,1983,In-Land
Dubai*,2.0,1983,In-Land
Egypt,16.0,1983,In-Land
Iran*,11.0,1983,In-Land
Iraq*,23.0,1983,In-Land
Jordan,2.0,1983,In-Land
Kuwait*,5.0,1983,In-Land
Oman,10.0,1983,In-Land
Pakistan,17.0,1983,In-Land
Qatar*,1.0,1983,In-Land
Saudi Arabia*,14.0,1983,In-Land
Sudan,0.0,1983,In-Land
Syria,15.0,1983,In-Land
Yemen,0.0,1983,In-Land
Oth Mid East,3.0,1983,In-Land
Algeria*,55.0,1983,In-Land
Angola,3.0,1983,In-Land
Congo,0.0,1983,In-Land
Gabon*,0.0,1983,In-Land
Kenya,0.0,1983,In-Land
Libya*,22.0,1983,In-Land
Nigeria*,10.0,1983,In-Land
S. Africa,0.0,1983,In-Land
Tunisia,5.0,1983,In-Land
Oth Africa,11.0,1983,In-Land
Argentina,73.0,1983,In-Land
Bolivia,8.0,1983,In-Land
Brazil,55.0,1983,In-Land
Chile,3.0,1983,In-Land
Colombia,18.0,1983,In-Land
Costa Rica,1.0,1983,In-Land
Ecuador*,5.0,1983,In-Land
Mexico,160.0,1983,In-Land
Peru,10.0,1983,In-Land
Trinidad,6.0,1983,In-Land
Venezuela*,30.0,1983,In-Land
Oth L.A.,3.0,1983,In-Land
Australia,14.0,1983,In-Land
Bangladesh,2.0,1983,In-Land
Brunei,3.0,1983,In-Land
India,42.0,1983,In-Land
Indonesia*,63.0,1983,In-Land
Japan,18.0,1983,In-Land
Malaysia,0.0,1983,In-Land
Myanmar,36.0,1983,In-Land
New Zealand,2.0,1983,In-Land
Off China,0.0,1983,In-Land
Papua New Guinea,1.0,1983,In-Land
Phillippines,8.0,1983,In-Land
Taiwan,4.0,1983,In-Land
Thailand,6.0,1983,In-Land
Vietnam,0.0,1983,In-Land
Oth Far East,0.0,1983,In-Land
U.S.,2429.0,1984,In-Land
Canada,259.0,1984,In-Land
Austria,7.0,1984,In-Land
Denmark,0.0,1984,In-Land
France,20.0,1984,In-Land
Germany,19.0,1984,In-Land
Greece,3.0,1984,In-Land
Netherlands,8.0,1984,In-Land
Hungary,0.0,1984,In-Land
Italy,20.0,1984,In-Land
Norway,0.0,1984,In-Land
Poland,0.0,1984,In-Land
Romania,0.0,1984,In-Land
Spain,5.0,1984,In-Land
Turkey,24.0,1984,In-Land
U.K.,5.0,1984,In-Land
Yugoslavia/Croatia,23.0,1984,In-Land
Oth Eur,1.0,1984,In-Land
Abu Dhabi*,10.0,1984,In-Land
Dubai*,4.0,1984,In-Land
Egypt,16.0,1984,In-Land
Iran*,18.0,1984,In-Land
Iraq*,19.0,1984,In-Land
Jordan,3.0,1984,In-Land
Kuwait*,5.0,1984,In-Land
Oman,11.0,1984,In-Land
Pakistan,17.0,1984,In-Land
Qatar*,1.0,1984,In-Land
Saudi Arabia*,9.0,1984,In-Land
Sudan,0.0,1984,In-Land
Syria,23.0,1984,In-Land
Yemen,1.0,1984,In-Land
Oth Mid East,0.0,1984,In-Land
Algeria*,27.0,1984,In-Land
Angola,2.0,1984,In-Land
Congo,0.0,1984,In-Land
Gabon*,1.0,1984,In-Land
Kenya,0.0,1984,In-Land
Libya*,24.0,1984,In-Land
Nigeria*,6.0,1984,In-Land
S. Africa,0.0,1984,In-Land
Tunisia,4.0,1984,In-Land
Oth Africa,9.0,1984,In-Land
Argentina,82.0,1984,In-Land
Bolivia,6.0,1984,In-Land
Brazil,44.0,1984,In-Land
Chile,3.0,1984,In-Land
Colombia,16.0,1984,In-Land
Costa Rica,1.0,1984,In-Land
Ecuador*,4.0,1984,In-Land
Mexico,166.0,1984,In-Land
Peru,10.0,1984,In-Land
Trinidad,6.0,1984,In-Land
Venezuela*,21.0,1984,In-Land
Oth L.A.,2.0,1984,In-Land
Australia,24.0,1984,In-Land
Bangladesh,4.0,1984,In-Land
Brunei,2.0,1984,In-Land
India,40.0,1984,In-Land
Indonesia*,56.0,1984,In-Land
Japan,15.0,1984,In-Land
Malaysia,0.0,1984,In-Land
Myanmar,32.0,1984,In-Land
New Zealand,1.0,1984,In-Land
Off China,0.0,1984,In-Land
Papua New Guinea,1.0,1984,In-Land
Phillippines,3.0,1984,In-Land
Taiwan,5.0,1984,In-Land
Thailand,5.0,1984,In-Land
Vietnam,0.0,1984,In-Land
Oth Far East,0.0,1984,In-Land
U.S.,1976.0,1985,In-Land
Canada,311.0,1985,In-Land
Austria,7.0,1985,In-Land
Denmark,0.0,1985,In-Land
France,22.0,1985,In-Land
Germany,20.0,1985,In-Land
Greece,1.0,1985,In-Land
Netherlands,7.0,1985,In-Land
Hungary,0.0,1985,In-Land
Italy,31.0,1985,In-Land
Norway,0.0,1985,In-Land
Poland,0.0,1985,In-Land
Romania,0.0,1985,In-Land
Spain,7.0,1985,In-Land
Turkey,25.0,1985,In-Land
U.K.,7.0,1985,In-Land
Yugoslavia/Croatia,25.0,1985,In-Land
Oth Eur,0.0,1985,In-Land
Abu Dhabi*,10.0,1985,In-Land
Dubai*,0.0,1985,In-Land
Egypt,16.0,1985,In-Land
Iran*,18.0,1985,In-Land
Iraq*,28.0,1985,In-Land
Jordan,2.0,1985,In-Land
Kuwait*,6.0,1985,In-Land
Oman,13.0,1985,In-Land
Pakistan,18.0,1985,In-Land
Qatar*,2.0,1985,In-Land
Saudi Arabia*,7.0,1985,In-Land
Sudan,0.0,1985,In-Land
Syria,26.0,1985,In-Land
Yemen,2.0,1985,In-Land
Oth Mid East,1.0,1985,In-Land
Algeria*,35.0,1985,In-Land
Angola,2.0,1985,In-Land
Congo,0.0,1985,In-Land
Gabon*,1.0,1985,In-Land
Kenya,0.0,1985,In-Land
Libya*,28.0,1985,In-Land
Nigeria*,7.0,1985,In-Land
S. Africa,1.0,1985,In-Land
Tunisia,3.0,1985,In-Land
Oth Africa,8.0,1985,In-Land
Argentina,81.0,1985,In-Land
Bolivia,5.0,1985,In-Land
Brazil,46.0,1985,In-Land
Chile,3.0,1985,In-Land
Colombia,21.0,1985,In-Land
Costa Rica,0.0,1985,In-Land
Ecuador*,2.0,1985,In-Land
Mexico,163.0,1985,In-Land
Peru,7.0,1985,In-Land
Trinidad,7.0,1985,In-Land
Venezuela*,23.0,1985,In-Land
Oth L.A.,2.0,1985,In-Land
Australia,22.0,1985,In-Land
Bangladesh,5.0,1985,In-Land
Brunei,1.0,1985,In-Land
India,47.0,1985,In-Land
Indonesia*,56.0,1985,In-Land
Japan,12.0,1985,In-Land
Malaysia,0.0,1985,In-Land
Myanmar,32.0,1985,In-Land
New Zealand,3.0,1985,In-Land
Off China,0.0,1985,In-Land
Papua New Guinea,2.0,1985,In-Land
Phillippines,2.0,1985,In-Land
Taiwan,5.0,1985,In-Land
Thailand,4.0,1985,In-Land
Vietnam,0.0,1985,In-Land
Oth Far East,0.0,1985,In-Land
U.S.,970.0,1986,In-Land
Canada,178.0,1986,In-Land
Austria,6.0,1986,In-Land
Denmark,0.0,1986,In-Land
France,15.0,1986,In-Land
Germany,19.0,1986,In-Land
Greece,0.0,1986,In-Land
Netherlands,5.0,1986,In-Land
Hungary,0.0,1986,In-Land
Italy,24.0,1986,In-Land
Norway,0.0,1986,In-Land
Poland,0.0,1986,In-Land
Romania,0.0,1986,In-Land
Spain,4.0,1986,In-Land
Turkey,27.0,1986,In-Land
U.K.,7.0,1986,In-Land
Yugoslavia/Croatia,27.0,1986,In-Land
Oth Eur,0.0,1986,In-Land
Abu Dhabi*,8.0,1986,In-Land
Dubai*,1.0,1986,In-Land
Egypt,17.0,1986,In-Land
Iran*,16.0,1986,In-Land
Iraq*,21.0,1986,In-Land
Jordan,2.0,1986,In-Land
Kuwait*,6.0,1986,In-Land
Oman,13.0,1986,In-Land
Pakistan,17.0,1986,In-Land
Qatar*,0.0,1986,In-Land
Saudi Arabia*,5.0,1986,In-Land
Sudan,0.0,1986,In-Land
Syria,27.0,1986,In-Land
Yemen,5.0,1986,In-Land
Oth Mid East,1.0,1986,In-Land
Algeria*,41.0,1986,In-Land
Angola,1.0,1986,In-Land
Congo,0.0,1986,In-Land
Gabon*,1.0,1986,In-Land
Kenya,0.0,1986,In-Land
Libya*,20.0,1986,In-Land
Nigeria*,7.0,1986,In-Land
