Country,1-Jan-82,1-Feb-82,1-Mar-82,1-Apr-82,1-May-82,1-Jun-82,1-Jul-82,1-Aug-82,1-Sep-82,1-Oct-82,1-Nov-82,1-Dec-82,Total_82,Total_82_values,1-Jan-83,1-Feb-83,1-Mar-83,1-Apr-83,1-May-83,1-Jun-83,1-Jul-83,1-Aug-83,1-Sep-83,1-Oct-83,1-Nov-83,1-Dec-83,Total_83,Total_83_values,1-Jan-84,1-Feb-84,1-Mar-84,1-Apr-84,1-May-84,1-Jun-84,1-Jul-84,1-Aug-84,1-Sep-84,1-Oct-84,1-Nov-84,1-Dec-84,Total_84,Totl_84_Values,1-Jan-85,1-Feb-85,1-Mar-85,1-Apr-85,1-May-85,1-Jun-85,1-Jul-85,1-Aug-85,1-Sep-85,1-Oct-85,1-Nov-85,1-Dec-85,,,1-Jan-86,1-Feb-86,1-Mar-86,1-Apr-86,1-May-86,1-Jun-86,1-Jul-86,1-Aug-86,1-Sep-86,1-Oct-86,1-Nov-86,1-Dec-86,,,1-Jan-87,1-Feb-87,1-Mar-87,1-Apr-87,1-May-87,1-Jun-87,1-Jul-87,1-Aug-87,1-Sep-87,1-Oct-87,1-Nov-87,1-Dec-87,1-Jan-88,1-Feb-88,1-Mar-88,1-Apr-88,1-May-88,1-Jun-88,1-Jul-88,1-Aug-88,1-Sep-88,1-Oct-88,1-Nov-88,1-Dec-88,1-Jan-89,1-Feb-89,1-Mar-89,1-Apr-89,1-May-89,1-Jun-89,1-Jul-89,1-Aug-89,1-Sep-89,1-Oct-89,1-Nov-89,1-Dec-89,1-Jan-90,1-Feb-90,1-Mar-90,1-Apr-90,1-May-90,1-Jun-90,1-Jul-90,1-Aug-90,1-Sep-90,1-Oct-90,1-Nov-90,1-Dec-90,1-Jan-91,1-Feb-91,1-Mar-91,1-Apr-91,1-May-91,1-Jun-91,1-Jul-91,1-Aug-91,1-Sep-91,1-Oct-91,1-Nov-91,1-Dec-91,1-Jan-92,1-Feb-92,1-Mar-92,1-Apr-92,1-May-92,1-Jun-92,1-Jul-92,1-Aug-92,1-Sep-92,1-Oct-92,1-Nov-92,1-Dec-92,1-Jan-93,1-Feb-93,1-Mar-93,1-Apr-93,1-May-93,1-Jun-93,1-Jul-93,1-Aug-93,1-Sep-93,1-Oct-93,1-Nov-93,1-Dec-93,1-Jan-94,1-Feb-94,1-Mar-94,1-Apr-94,1-May-94,1-Jun-94,1-Jul-94,1-Aug-94,1-Sep-94,1-Oct-94,1-Nov-94,1-Dec-94,1-Jan-95,1-Feb-95,1-Mar-95,1-Apr-95,1-May-95,1-Jun-95,1-Jul-95,1-Aug-95,1-Sep-95,1-Oct-95,1-Nov-95,1-Dec-95,1-Jan-96,1-Feb-96,1-Mar-96,1-Apr-96,1-May-96,1-Jun-96,1-Jul-96,1-Aug-96,1-Sep-96,1-Oct-96,1-Nov-96,1-Dec-96,1-Jan-97,1-Feb-97,1-Mar-97,1-Apr-97,1-May-97,1-Jun-97,1-Jul-97,1-Aug-97,1-Sep-97,1-Oct-97,1-Nov-97,1-Dec-97,1-Jan-98,1-Feb-98,1-Mar-98,1-Apr-98,1-May-98,1-Jun-98,1-Jul-98,1-Aug-98,1-Sep-98,1-Oct-98,1-Nov-98,1-Dec-98,1-Jan-99,1-Feb-99,1-Mar-99,1-Apr-99,1-May-99,1-Jun-99,1-Jul-99,1-Aug-99,1-Sep-99,1-Oct-99,1-Nov-99,1-Dec-99,1-Jan-00,1-Feb-00,1-Mar-00,1-Apr-00,1-May-00,1-Jun-00,1-Jul-00,1-Aug-00,1-Sep-00,1-Oct-00,1-Nov-00,1-Dec-00,1-Jan-01,1-Feb-01,1-Mar-01,1-Apr-01,1-May-01,1-Jun-01,1-Jul-01,1-Aug-01,1-Sep-01,1-Oct-01,1-Nov-01,1-Dec-01,2-Jan-02,2-Feb-02,2-Mar-02,2-Apr-02,2-May-02,2-Jun-02,2-Jul-02,2-Aug-02,2-Sep-02,2-Oct-02,2-Nov-02,1-Dec-02,3-Jan-03,3-Feb-03,3-Mar-03,3-Apr-03,3-May-03,3-Jun-03,3-Jul-03,3-Aug-03,3-Sep-03,3-Oct-03,3-Nov-03,1-Dec-03,4-Jan-04,4-Feb-04,4-Mar-04,4-Apr-04,4-May-04,4-Jun-04,4-Jul-04,4-Aug-04,4-Sep-04,4-Oct-04,4-Nov-04,1-Dec-04,5-Jan-05,5-Feb-05,5-Mar-05,1-Apr-05,5-May-05,5-Jun-05,5-Jul-05,5-Aug-05,5-Sep-05,5-Oct-05,5-Nov-05,1-Dec-05,6-Jan-06,6-Feb-06,6-Mar-06,6-Apr-06,6-May-06,6-Jun-06,6-Jul-06,6-Aug-06,6-Sep-06,6-Oct-06,6-Nov-06,6-Dec-06,6-Jan-07,6-Feb-07,6-Mar-07,6-Apr-07,6-May-07,6-Jun-07,6-Jul-07,7-Aug-07,8-Sep-07,10-Oct-07,7-Nov-07,1-Dec-07,1-Jan-08,7-Feb-08,7-Mar-08,7-Apr-08,7-May-08,8-Jun-08,10-Jul-08,11-Aug-08,12-Sep-08,14-Oct-08,15-Nov-08,17-Dec-08,18-Jan-09,9-Feb-09,3-Mar-09,1-Apr-09,16-May-09,22-Jun-09,9-Jul-09,9-Aug-09,9-Sep-09,9-Oct-09,9-Nov-09,9-Dec-09,9-Jan-10,9-Feb-10,10-Mar-10,10-Apr-10,10-May-10,10-Jun-10,10-Jul-10,10-Aug-10,10-Sep-10,10-Oct-10,10-Nov-10,10-Dec-10,11-Jan-11,11-Feb-11,11-Mar-11,11-Apr-11,7-May-11,2-Jun-11,11-Jul-11,11-Aug-11,11-Sep-11,11-Oct-11,11-Nov-11,11-Dec-11,12-Jan-12,13-Feb-12,16-Mar-12,17-Apr-12,18-May-12,18-Jun-12,19-Jul-12,20-Aug-12,20-Sep-12,17-Oct-12,17-Nov-12,17-Dec-12,18-Jan-13,18-Feb-13,18-Mar-13,17-Apr-13,18-May-13,18-Jun-13,18-Jul-13,18-Aug-13,18-Sep-13,18-Oct-13,18-Nov-13,13-Dec-13,7-Jan-14,28-Feb-14,28-Mar-14,25-Apr-14,30-May-14,30-Jun-14,30-Jul-14,28-Aug-14,26-Sep-14,31-Oct-14,30-Nov-14,30-Dec-14,1-Jan-15,1-Feb-15,1-Mar-15,1-Apr-15,1-May-15,1-Jun-15,1-Jul-15,1-Aug-15,1-Sep-15,1-Oct-15,1-Nov-15,1-Dec-15,1-Jan-16,1-Feb-16,1-Mar-16,1-Apr-16,1-May-16,1-Jun-16,1-Jul-16,1-Aug-16,1-Sep-16,1-Oct-16,1-Nov-16,1-Dec-16,1-Jan-17,1-Feb-17,1-Mar-17,1-Apr-17,1-May-17,1-Jun-17,1-Jul-17,1-Aug-17,1-Sep-17,1-Oct-17,1-Nov-17,1-Dec-17,1-Jan-18,1-Feb-18,1-Mar-18,1-Apr-18,1-May-18,1-Jun-18,1-Jul-18,1-Aug-18,1-Sep-18,1-Oct-18,1-Nov-18,1-Dec-18,1-Jan-19,1-Feb-19,1-Mar-19,1-Apr-19,1-May-19,1-Jun-19,1-Jul-19,1-Aug-19,1-Sep-19,1-Oct-19
Austria,10,10,10,9,9,8,8,8,8,8,8,8,104,104,11,9,9,10,11,10,9,9,9,9,5,5,106,106,8,8,6,6,11,8,7,7,4,4,4,8,81,81,8,8,8,8,8,6,4,4,4,7,7,6,78,78,7,8,8,10,9,9,4,3,5,5,3,5,,,5,5,4,4,4,4,4,3,3,3,4,4,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,2,2,2,2,1,2,2,2,3,3,4,4,4,4,3,2,3,2,2,2,2,2,2,1,2,2,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,4,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Austria_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark_Offshore,2,2,2,2,2,2,2,2,2,2,2,2,24,24,2,2,4,4,4,4,4,4,4,4,4,4,44,44,3,3,3,3,3,3,3,3,3,3,1,3,34,34,3,3,3,3,3,3,3,3,4,4,4,5,41,41,5,5,5,5,2,2,1,1,1,1,2,0,,,0,0,1,1,1,1,3,4,5,7,5,4,4,3,2,1,0,1,1,1,1,2,2,2,2,3,3,3,3,2,3,3,1,0,1,1,2,2,1,2,2,2,0,2,3,2,2,1,1,1,2,2,1,3,3,1,3,3,2,1,3,2,2,1,2,4,4,4,3,4,2,3,4,1,3,3,3,2,2,2,4,3,2,0,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,3,3,2,0,2,3,3,2,3,1,3,1,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,4,2,2,3,3,3,2,3,1,3,4,4,3,3,2,1,1,3,2,2,1,2,3,3,4,1,5,5,2,4,2,2,4,4,4,4,3,6,6,6,2,3,5,3,6,6,3,4,4,3,3,3,2,3,6,5,4,2,4,3,4,5,5,5,2,3,4,4,4,3,5,5,4,5,2,4,3,1,4,4,3,4,0,2,2,3,3,1,3,2,2,1,2,3,3,4,4,5,4,2,2,4,4,1,0,5,2,3,4,3,3,5,3,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,3,3,3,3,4,3,2,2,2,2,4,2,3,3,3,3,3,3,3,3,2,1,1,1,0,0,3,2,0,1,1,2,4,4,3,2,3,3,3,4,2,3,1,1,1,1,1,1,1,0,1,2,3,3,2,2,2,2,1,1,2,2,2,3,3,3,1,1,0,4,3,1,1,4,3,3,1,2,3,2,3,3,2,1,2,2,2,1,1,2,1,0,0,1,1,1,1,1,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
France,28,28,26,28,28,23,19,19,14,13,14,13,253,253,13,22,14,14,14,14,18,18,19,18,18,16,198,198,20,20,20,20,19,19,19,21,20,19,20,20,237,237,16,16,16,20,22,22,23,25,23,25,26,25,259,259,23,20,20,17,17,17,14,15,15,8,8,7,,,7,7,7,5,7,7,7,8,9,9,14,14,10,9,7,9,8,8,8,8,7,9,8,9,5,3,3,4,9,10,8,9,9,7,7,7,7,8,8,8,7,7,5,6,5,3,4,6,4,4,4,4,3,3,4,4,4,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,1,3,3,3,3,3,3,2,3,4,4,2,3,1,1,1,1,1,2,3,2,1,1,1,1,2,2,1,1,0,0,2,2,1,2,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,3,3,1,1,1,2,3,2,2,3,3,1,3,1,3,1,2,0,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,1,0,1,1,2,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,2,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,3,3,1,0,1,1,1,1,1,1,1,2,2,1,1,0,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,0,0,1,1,2,2,2,1,2,2,1,1,3,3,3,1
France_Offshore,2,2,2,2,2,0,0,0,0,0,1,0,11,11,0,0,1,1,1,1,1,1,1,0,0,1,8,8,1,1,1,1,1,1,1,1,0,0,0,0,8,8,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,30,30,30,30,30,30,31,31,31,31,31,31,366,366,33,31,30,27,24,24,24,24,24,24,24,16,305,305,16,16,15,15,19,14,14,20,23,23,25,25,225,225,22,22,22,19,21,21,21,21,21,16,16,20,242,242,24,22,22,23,23,18,17,16,16,15,15,12,,,11,11,10,10,9,9,12,11,13,13,15,17,13,12,10,9,9,10,10,10,10,6,4,4,6,8,8,9,9,2,7,8,10,10,9,7,10,9,9,12,9,9,6,6,6,6,8,8,9,9,9,9,9,6,5,6,6,5,5,4,4,6,5,5,11,6,4,5,5,8,7,6,6,8,6,7,8,8,8,8,8,5,8,7,8,6,7,8,6,9,8,6,9,8,9,7,9,6,7,8,10,10,9,10,10,10,11,11,11,10,10,9,10,9,8,8,8,6,7,7,6,6,4,3,4,4,3,3,3,4,5,5,5,5,3,3,3,3,2,2,4,3,3,4,4,3,3,4,4,5,3,4,5,6,6,4,2,3,3,3,4,3,4,4,2,2,2,2,2,2,3,3,3,2,2,3,6,6,5,5,3,3,3,3,3,4,4,4,3,2,4,4,2,3,2,1,1,2,2,2,2,2,2,2,2,3,4,4,4,4,4,3,3,4,3,2,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,2,3,2,3,4,5,4,5,4,5,4,5,5,4,4,4,5,5,5,4,4,6,6,7,9,8,8,8,10,11,10,12,10,8,10,10,7,9,6,6,7,7,7,4,4,4,4,4,4,4,4,4,4,3,3,3,7,7,7,8,6,6,6,7,7,5,4,6,5,7,8,6,7,5,6,5,6,11,8,6,6,8,8,6,7,5,5,6,5,4,4,6,4,4,7,4,3,2,3,3,3,2,4,5,3,3,3,4,3,3,2,0,1,1,3,3,6,7,7,5,4,3,3,2,3,1,2,4,4,3,3,4,2,3,3,2,4,4,2,2,3,3,2,1,3,3,2,2,4,5,5,5,5,5,3,2,4,5,3,3,4,2,3
Germany_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0
Greece,3,3,3,3,3,2,2,2,2,2,2,2,29,29,2,2,2,2,2,2,2,2,2,2,2,2,24,24,2,3,3,3,3,3,3,3,3,3,3,3,35,35,3,3,3,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,1,1,,,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece_Offshore,3,3,3,3,3,2,2,2,2,2,2,2,29,29,2,2,1,1,1,1,1,1,1,1,1,1,14,14,1,1,1,1,1,1,1,1,1,1,1,1,12,12,1,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1
