,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,9,9,7,7,6,4,4,2,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,1,0,1,1,1
Austria_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark_Offshore,2,4,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,2,3,4,4,4,4,2,3,3,3,3,2,2,2,2,2,2,1,1,0,0
France,21,17,20,22,15,8,8,7,6,4,3,3,2,1,1,1,2,1,1,1,0,1,1,0,0,1,1,0,1,1,1,2,3,1,0,1,1,2
France_Offshore,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,31,26,19,20,19,12,9,8,8,7,6,7,8,9,8,4,3,4,3,4,3,2,3,4,3,5,9,7,4,6,7,6,4,3,4,3,3,3
Germany_Offshore,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Greece,2,2,3,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece_Offshore,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Netherlands,8,6,8,7,5,3,4,4,4,3,2,3,3,3,5,4,3,1,1,1,2,1,1,1,1,1,0,1,2,2,2,4,4,2,1,0,1,0
Netherlands_Offshore,12,10,11,17,11,7,10,8,11,8,8,4,3,5,6,7,5,3,3,5,3,4,4,3,4,3,3,2,5,4,5,4,6,4,2,2,1,1
Hungary,0,0,0,0,0,0,0,0,0,5,2,2,2,2,1,1,2,1,1,1,1,2,2,2,3,2,4,3,2,2,2,2,2,2,2,1,2,2
Hungary_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,31,20,20,31,24,20,17,17,16,19,17,11,10,10,12,11,9,8,7,7,5,5,5,3,3,3,4,3,4,4,3,3,4,3,4,3,1,3
Italy_Offshore,7,7,6,9,9,6,7,5,5,6,6,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway_Offshore,13,10,10,13,12,12,15,12,12,16,15,13,14,13,15,17,17,17,22,23,19,19,17,17,17,18,20,21,18,17,17,20,16,17,17,15,15,17
Poland,0,0,0,0,0,0,0,0,0,28,18,18,18,18,18,16,15,14,15,13,12,11,5,2,2,2,1,2,3,9,7,6,5,8,6,9,6,6
Poland_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,1,4,4,4,3,2,2,2,0,2,2,2,2,3,2,2,16,8,10,10,9,8,12,8,5,6,8,10
Romania_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,1,0
Spain,7,4,5,7,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Spain_Offshore,5,3,4,4,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Turkey,34,26,24,25,27,26,21,20,17,19,15,16,16,15,10,10,7,6,6,6,5,4,4,4,4,5,6,5,9,21,23,32,41,30,29,23,19,18
Turkey_Offshore,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2
U.K.,2,2,5,7,7,4,5,4,3,1,1,1,1,1,1,2,1,1,1,0,1,0,0,1,1,1,2,1,1,2,1,1,1,0,0,0,1,0
U.K._Offshore,55,40,54,56,36,40,52,42,46,38,33,24,22,26,30,32,27,18,18,24,26,19,15,20,25,25,20,17,18,15,17,17,15,14,9,8,7,15
Yugoslavia/Croatia,24,20,23,25,27,28,28,29,30,14,0,0,0,0,2,1,0,0,0,0,1,3,3,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Yugoslavia/Croatia_Offshore,0,1,2,2,3,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Oth Eur,2,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,2,4,4,4,4,5,6,6,6,10,13,18,17,13,8,11,10,61
Oth Eur_Offshore,0,1,1,2,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2,5,4,6,6,6,7,5,5,6
Abu Dhabi*,18,12,10,10,8,3,3,2,3,6,8,8,7,7,7,7,7,8,7,8,9,9,10,9,9,9,9,8,8,13,16,20,24,25,30,35,38,40
Abu Dhabi*_Offshore,23,24,20,12,7,6,5,4,5,7,7,8,8,7,7,8,8,6,4,6,6,5,4,4,5,4,3,3,4,8,7,8,9,15,19,14,15,20
Dubai*,1,2,4,0,1,0,0,0,1,0,1,2,1,1,0,0,1,1,1,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
