,Year,"Gas consumption, terawatt hours (TWh) (terawatt-hours)",Gas Production - Mtoe (terawatt-hours),Natural_Gas_Production_EIA(Totalbcf),Natural_Gas_Consumption_EIA(Quad_Btu)
0,Jan-65,6823.934577,0,0,0
1,Jan-66,7426.217421,0,0,0
2,Jan-67,7961.256227,0,0,0
3,Jan-68,8668.151001,0,0,0
4,Jan-69,9510.132872,0,0,0
5,Jan-70,10350.9762,10463.00414,0,0
6,Jan-71,11048.31053,11161.7712,0,0
7,Jan-72,11634.66841,11686.1238,0,0
8,Jan-73,12153.54337,12205.27862,0,0
9,Jan-74,12408.64757,12412.3163,0,0
10,Jan-75,12377.59393,12416.01892,0,0
11,Jan-76,13084.99176,12926.10494,0,0
12,Jan-77,13487.86548,13459.9657,0,0
13,Jan-78,14034.26272,13903.62425,0,0
14,Jan-79,14902.18784,14879.47672,0,0
15,Jan-80,15019.78524,15071.75178,181.0872668,53.8652232
16,Jan-81,15173.09253,15315.02937,181.2109436,53.8954238
17,Jan-82,15217.6112,15300.43383,179.5139555,54.0552553
18,Jan-83,15422.60601,15355.5369,180.3821126,55.1497726
19,Jan-84,16685.70859,16681.25279,194.5887614,60.8428969
20,Jan-85,17238.25674,17202.9057,199.8412734,63.3716616
21,Jan-86,17388.7886,17652.64147,200.7365557,64.2243905
22,Jan-87,18287.8572,18550.92702,212.0093997,67.5619701
23,Jan-88,19135.61251,19382.22053,221.6420893,71.0100486
24,Jan-89,20010.26924,20034.30433,229.3572665,74.2297266
25,Jan-90,20555.37089,20675.8119,175.8928714,75.12321933
26,Jan-91,21111.11064,20968.13917,182.133553,76.72989896
27,Jan-92,21212.90741,21148.55241,175.0866316,77.11050757
28,Jan-93,21421.02259,21346.63734,177.7812373,79.11024206
29,Jan-94,21573.29342,21668.90086,177.4303079,79.00091913
30,Jan-95,22325.39032,22006.03134,182.0750249,81.3244205
31,Jan-96,23405.25293,23090.14514,188.8373223,83.19845671
32,Jan-97,23390.79648,23104.75084,186.5342618,83.69926851
33,Jan-98,23795.44616,23696.89511,189.0994144,84.37331256
34,Jan-99,24393.92707,24286.27668,194.5092441,86.51886489
35,Jan-00,25373.43815,25262.00317,202.7965069,89.6048509
36,Jan-01,25801.53362,25967.31291,206.2136443,89.93135523
37,Jan-02,26518.27189,26467.42328,212.7187004,94.06020276
38,Jan-03,27262.35127,27435.60572,219.1123933,96.78718428
39,Jan-04,28238.52485,28338.33768,228.0637245,99.79480928
40,Jan-05,29065.6228,29123.26006,237.5527084,102.6069057
41,Jan-06,29923.81715,30201.24088,243.9368609,106.3121232
42,Jan-07,31146.16529,30939.81538,252.6212061,109.7209404
43,Jan-08,31959.42611,32060.89585,260.2924744,112.8727647
44,Jan-09,31116.35515,31157.54829,251.8085541,109.1493137
45,Jan-10,33427.49678,33485.52107,281.0825637,119.4238794
46,Jan-11,34033.08509,34510.12174,278.1434453,122.9924866
47,Jan-12,35012.27319,35177.3648,280.7487672,125.802648
48,Jan-13,35522.2638,35739.77778,283.7276569,127.6546757
49,Jan-14,35738.83055,36434.42043,285.3779058,128.1451252
50,Jan-15,36596.65882,37158.05563,291.7641381,130.0516932
51,Jan-16,37264.17119,37366.17505,348.6660359,132.6992294
52,0,0,0,363.303011,0
53,0,0,0,34.25191827,0
54,0,0,0,32.30241063,0
