,predict,actual
Dec-10,75.47566,75.44
Jan-11,74.56895,74.27
Feb-11,73.07844,75.07
Mar-11,73.67354,77.47
Apr-11,76.28104,78.4
May-11,77.76566,78.44
Jun-11,77.72009,79.46
Jul-11,78.54051,80.15
Aug-11,79.023056,80.71
Sep-11,79.17141,81.36
Oct-11,79.74534,81.82
Nov-11,80.10872,82.09
Dec-11,80.49153,82.8
Jan-12,81.338264,82.63999
Feb-12,80.84583,82.25
Mar-12,80.197014,82.88
Apr-12,81.231064,83.16001
May-12,82.04304,83.89
Jun-12,82.725235,84.69
Jul-12,83.26348,85.11001
Aug-12,83.72151,84.98999
Sep-12,83.66143,85.68
Oct-12,84.4145,85.31
Nov-12,84.03889,85.2
Dec-12,83.91635,86.100006
Jan-13,84.95631,86.62999
Feb-13,85.29332,87.01
Mar-13,85.48687,86.99
Apr-13,85.7664,87.11
May-13,86.2964,87.55001
Jun-13,86.80795,87.44
Jul-13,86.552055,87.57
Aug-13,86.60939,87.740005
Sep-13,86.7103,88.31
Oct-13,87.30431,88.56
Nov-13,87.53277,88.2
Dec-13,87.08628,88.14001
Jan-14,87.047195,87.62
Feb-14,86.22289,87.27
Mar-14,85.75558,87.26
Apr-14,85.88552,87.399994
May-14,86.32637,86.100006
Jun-14,84.97648,85.45
Jul-14,84.20545,85.56
Aug-14,84.03076,84.87
Sep-14,83.21093,83.97
Oct-14,82.229385,83.43
Nov-14,81.613,82.87
Dec-14,80.98101,82.04
Jan-15,80.134056,80.92
Feb-15,79.15431,79.270004
Mar-15,77.987076,79.15
Apr-15,78.42175,77.95
May-15,77.649216,76.78
Jun-15,76.73898,75.46
Jul-15,75.46612,74.4
Aug-15,74.356766,72.6
Sep-15,72.52545,70.83
Oct-15,70.97866,69.7
Nov-15,70.05304,68.42
Dec-15,68.91217,67.31
Jan-16,67.982635,64.93
Feb-16,65.957634,63.83
Mar-16,65.173355,63.49
Apr-16,65.220245,62.49
May-16,64.5842,61.37
Jun-16,63.72744,59.680004
Jul-16,62.379272,59.24
Aug-16,61.89414,58.1
Sep-16,60.879845,57.43
Oct-16,60.297993,56.929996
Nov-16,59.876877,55.75
Dec-16,58.814064,55.169994
Jan-17,58.28326,54.84
Feb-17,57.755802,55.34
Mar-17,57.95858,55.87
Apr-17,58.422085,56.32
May-17,58.90726,56.449997
Jun-17,58.9658,56.820004
Jul-17,59.060257,57.83
Aug-17,59.770382,57.65
Sep-17,59.61896,57.69
Oct-17,59.720272,57.03
Nov-17,59.202,57.74
Dec-17,59.840683,58.5
Jan-18,60.405617,57.7
Feb-18,59.59496,58.2
Mar-18,59.791965,58.320004
Apr-18,60.048424,58.4
May-18,60.288948,60.55
Jun-18,62.06724,61.81
Jul-18,63.02637,61.88
Aug-18,62.936096,61.88
Sep-18,62.87993,62.96
Oct-18,63.847923,63.3
Nov-18,64.1308,63.68
Dec-18,64.417015,64.77
Jan-19,65.34609,65.68
Feb-19,66.034386,66.21
Mar-19,66.445435,66.79
Apr-19,67.129486,67.28
May-19,67.69733,67.75
Jun-19,68.03463,68.96
Jul-19,69.01783,69.75
Aug-19,69.723915,69.74
Sep-19,69.74003,70.55
Oct-19,70.60095,70.4
