Date,International Petrol Consumption
Jan-73,2238.668455
Feb-73,2262.142818
Mar-73,2262.886818
Apr-73,2260.368591
May-73,2314.251273
Jun-73,2285.879182
Jul-73,2363.156773
Aug-73,2332.857636
Sep-73,2376.528182
Oct-73,2331.407727
Nov-73,2208.972864
Dec-73,2228.130182
Jan-74,2277.182091
Feb-74,2297.888727
Mar-74,2323.690864
Apr-74,2350.510409
May-74,2356.934818
Jun-74,2341.491091
Jul-74,2295.671818
Aug-74,2230.001682
Sep-74,2246.874
Oct-74,2258.075182
Nov-74,2262.877773
Dec-74,2240.178636
Jan-75,2137.979455
Feb-75,2093.075955
Mar-75,2095.087955
Apr-75,2078.229818
May-75,2096.347864
Jun-75,2152.164136
Jul-75,2214.923273
Aug-75,2258.935
Sep-75,2347.689045
Oct-75,2093.862864
Nov-75,2171.738955
Dec-75,2204.352864
Jan-76,2163.633818
Feb-76,2226.229364
Mar-76,2290.921909
Apr-76,2244.141182
May-76,2254.255864
Jun-76,2338.068955
Jul-76,2346.472682
Aug-76,2363.042318
Sep-76,2407.459955
Oct-76,2489.216636
Nov-76,2516.459273
Dec-76,2579.095
Jan-77,2319.421409
Feb-77,2491.594909
Mar-77,2509.622727
Apr-77,2473.483409
May-77,2385.1965
Jun-77,2424.930227
Jul-77,2374.150636
Aug-77,2407.972909
Sep-77,2473.9775
Oct-77,2458.372955
Nov-77,2511.093409
Dec-77,2566.6275
Jan-78,2309.447136
Feb-78,2375.534
Mar-78,2398.743
Apr-78,2436.625682
May-78,2395.385409
Jun-78,2456.074864
Jul-78,2440.884818
Aug-78,2476.155045
Sep-78,2575.618591
Oct-78,2594.057636
Nov-78,2600.971364
Dec-78,2535.309909
Jan-79,2461.844
Feb-79,2475.055227
Mar-79,2536.681682
Apr-79,2578.806227
May-79,2572.232818
Jun-79,2584.674182
Jul-79,2610.817091
Aug-79,2605.277727
Sep-79,2598.990636
Oct-79,2616.592318
Nov-79,2629.820455
Dec-79,2605.882182
Jan-80,2562.080727
Feb-80,2584.337364
Mar-80,2533.499818
Apr-80,2474.226682
May-80,2452.082545
Jun-80,2463.600682
Jul-80,2440.515682
Aug-80,2432.729773
Sep-80,2382.757318
Oct-80,2267.912091
Nov-80,2308.298727
Dec-80,2362.587636
Jan-81,2352.714455
Feb-81,2363.350136
Mar-81,2389.253136
Apr-81,2344.182182
May-81,2311.315455
Jun-81,2290.244273
Jul-81,2212.631136
Aug-81,2200.963909
Sep-81,2191.784227
Oct-81,2202.319636
Nov-81,2177.047818
Dec-81,2222.628955
Jan-82,2754.634724
Feb-82,2772.707448
Mar-82,2667.784138
Apr-82,2594.608
May-82,2529.580966
Jun-82,2611.481483
Jul-82,2586.843966
Aug-82,2571.547586
Sep-82,2592.294586
Oct-82,2633.36531
Nov-82,2700.848207
Dec-82,2698.431966
Jan-83,2584.148207
Feb-83,2548.04131
Mar-83,2575.153379
Apr-83,2491.497931
May-83,2518.684103
Jun-83,2562.925552
Jul-83,2586.928138
Aug-83,2624.984759
Sep-83,2643.182586
Oct-83,2630.786931
Nov-83,2691.591138
Dec-83,2750.019103
Jan-84,2665.083425
Feb-84,2665.873268
Mar-84,2653.409594
Apr-84,2577.104003
May-84,2567.112196
Jun-84,2600.641824
Jul-84,2576.04729
Aug-84,2549.935409
Sep-84,2537.891647
Oct-84,2574.952843
Nov-84,2612.248147
Dec-84,2609.161273
Jan-85,2610.575406
Feb-85,2658.104745
Mar-85,2579.409842
Apr-85,2527.613901
May-85,2467.967668
Jun-85,2425.424167
Jul-85,2472.036254
Aug-85,2488.04075
Sep-85,2522.504256
Oct-85,2622.481523
Nov-85,2633.837067
Dec-85,2708.618919
Jan-86,2642.129114
Feb-86,2700.604714
Mar-86,2626.329099
Apr-86,2619.010222
May-86,2611.20201
Jun-86,2652.428156
Jul-86,2701.777538
Aug-86,2718.561368
Sep-86,2583.204511
Oct-86,2623.289247
Nov-86,2651.352344
Dec-86,2742.662575
Jan-87,2674.383003
Feb-87,2679.161928
Mar-87,2622.739384
Apr-87,2609.524771
May-87,2579.802697
Jun-87,2628.647459
Jul-87,2730.133272
Aug-87,2706.710748
Sep-87,2727.659184
Oct-87,2734.273858
Nov-87,2719.941062
Dec-87,2807.731793
Jan-88,2722.464927
Feb-88,2794.145662
Mar-88,2785.36033
Apr-88,2699.42893
May-88,2657.902791
Jun-88,2712.672163
Jul-88,2707.586317
Aug-88,2767.637185
Sep-88,2783.734663
Oct-88,2850.966236
Nov-88,2939.487785
Dec-88,2991.742485
Jan-89,2790.274275
Feb-89,2831.186826
Mar-89,2834.503396
Apr-89,2750.57492
May-89,2732.107574
Jun-89,2781.622779
