Date,International Petrol Consumption,International Petrol Production,world population
Jan-73,2238.668455,49250.706,
Feb-73,2262.142818,49767.142,
Mar-73,2262.886818,49783.51,
Apr-73,2260.368591,49728.109,
May-73,2314.251273,50913.528,
Jun-73,2285.879182,50289.342,
Jul-73,2363.156773,51989.449,
Aug-73,2332.857636,51322.868,
Sep-73,2376.528182,52283.62,
Oct-73,2331.407727,51290.97,
Nov-73,2208.972864,48597.403,
Dec-73,2228.130182,49018.864,
Jan-74,2277.182091,50098.006,
Feb-74,2297.888727,50553.552,
Mar-74,2323.690864,51121.199,
Apr-74,2350.510409,51711.229,
May-74,2356.934818,51852.566,
Jun-74,2341.491091,51512.804,
Jul-74,2295.671818,50504.78,
Aug-74,2230.001682,49060.037,
Sep-74,2246.874,49431.228,
Oct-74,2258.075182,49677.654,
Nov-74,2262.877773,49783.311,
Dec-74,2240.178636,49283.93,
Jan-75,2137.979455,47035.548,
Feb-75,2093.075955,46047.671,
Mar-75,2095.087955,46091.935,
Apr-75,2078.229818,45721.056,
May-75,2096.347864,46119.653,
Jun-75,2152.164136,47347.611,
Jul-75,2214.923273,48728.312,
Aug-75,2258.935,49696.57,
Sep-75,2347.689045,51649.159,
Oct-75,2093.862864,46064.983,
Nov-75,2171.738955,47778.257,
Dec-75,2204.352864,48495.763,
Jan-76,2163.633818,47599.944,
Feb-76,2226.229364,48977.046,
Mar-76,2290.921909,50400.282,
Apr-76,2244.141182,49371.106,
May-76,2254.255864,49593.629,
Jun-76,2338.068955,51437.517,
Jul-76,2346.472682,51622.399,
Aug-76,2363.042318,51986.931,
Sep-76,2407.459955,52964.119,
Oct-76,2489.216636,54762.766,
Nov-76,2516.459273,55362.104,
Dec-76,2579.095,56740.09,
Jan-77,2319.421409,51027.271,
Feb-77,2491.594909,54815.088,
Mar-77,2509.622727,55211.7,
Apr-77,2473.483409,54416.635,
May-77,2385.1965,52474.323,
Jun-77,2424.930227,53348.465,
Jul-77,2374.150636,52231.314,
Aug-77,2407.972909,52975.404,
Sep-77,2473.9775,54427.505,
